Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Saints,108,37,11,6,80,45.4,44,22.1,494
Giants,108,41,14,8,66,42,38,20,458
Colts,101,40,15,5,81,52.3,45,21.8,470
Lions,99,40,16,7,90,51.7,48,23.9,472
Rams,99,44,8,6,90,58.8,46,25,458
Eagles,99,48,14,10,79,48.2,73,31.1,496
Patriots,97,35,10,2,69,42.9,40,23.4,435
Ravens,95,44,5,2,70,49.3,60,26.1,447
Jaguars,94,32,11,4,79,47.9,45,21.7,466
Falcons,93,37,9,4,81,54,54,25,465
Bears,92,40,10,4,70,53.4,57,27.4,440
Chiefs,92,45,4,2,97,51.6,50,26.9,465
Cardinals,91,36,14,4,70,49,46,24.7,431
Browns,88,26,7,4,54,45.8,47,23.7,427
Texans,88,39,7,3,78,60.9,27,16.2,394
Bills,87,42,8,5,91,52.3,53,28.5,442
Cowboys,86,41,7,2,67,49.3,41,22.5,392
Vikings,86,33,13,9,99,51.3,23,17.2,429
Panthers,85,34,12,4,73,48.7,36,25,404
Steelers,85,31,5,2,49,42.6,32,21.9,351
Commanders,85,25,9,6,80,47.9,39,27.3,439
Chargers,82,32,11,7,75,52.4,36,22.2,390
Bengals,81,27,7,2,65,44.2,26,21.5,368
Buccaneers,81,35,5,3,67,50.4,22,14.4,366
Packers,80,33,10,6,62,55.4,30,20.7,349
Raiders,80,28,9,8,86,54.8,29,17.9,419
Broncos,78,31,5,2,64,45.1,42,27.3,388
49ers,75,34,4,3,83,62.9,58,26.4,426
Jets,72,18,5,3,50,45.4,32,23.7,338
Titans,71,24,5,3,51,49.5,33,22.8,333
Dolphins,70,30,9,2,103,62.4,50,27.8,422
Seahawks,70,25,6,2,69,52.7,38,24.4,363
