Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Vikings,193,2057,10.7,16,28,4,62,99,51.3,3
Chiefs,188,2048,10.9,15,24,4,54,97,51.6,3
Saints,176,1726,9.8,6,18,5,51T,80,45.4,0
Bills,174,1841,10.6,15,18,5,55,91,52.3,2
Lions,174,1902,10.9,11,32,2,45,90,51.7,2
Commanders,167,1749,10.5,9,20,1,41T,80,47.9,2
Jaguars,165,1664,10.1,8,18,2,45T,79,47.9,4
Dolphins,165,2159,13.1,16,28,7,69,103,62.4,2
Eagles,164,1821,11.1,9,24,6,63,79,48.2,1
Patriots,161,1559,9.7,7,14,2,58T,69,42.9,3
Raiders,157,1623,10.3,8,13,1,48T,86,54.8,0
Giants,157,1455,9.3,4,19,2,58T,66,42,2
Colts,155,1764,11.4,8,26,6,75,81,52.3,2
Rams,153,1908,12.5,7,31,3,49,90,58.8,1
Falcons,150,1652,11,6,20,3,46,81,54,1
Panthers,150,1335,8.9,8,12,1,47T,73,48.7,1
Bengals,147,1230,8.4,7,7,2,63T,65,44.2,1
Cardinals,143,1365,9.6,6,13,2,69,70,49,0
Chargers,143,1641,11.5,11,27,4,60T,75,52.4,3
Ravens,142,1610,11.3,8,26,4,80,70,49.3,3
Broncos,142,1499,10.6,13,20,5,60,64,45.1,4
Cowboys,136,1361,10,6,18,2,60,67,49.3,3
Buccaneers,133,1363,10.2,8,19,3,70,67,50.4,3
49ers,132,1669,12.6,11,23,3,42,83,62.9,2
Bears,131,1446,11,12,22,2,58T,70,53.4,2
Seahawks,131,1454,11.1,7,19,1,51T,69,52.7,0
Texans,128,1666,13,10,25,4,68,78,60.9,0
Browns,118,1174,10,4,11,2,58,54,45.8,3
Steelers,115,1275,11.1,5,18,3,72,49,42.6,2
Packers,112,1277,11.4,10,14,3,77T,62,55.4,0
Jets,110,1097,10,4,13,1,68T,50,45.4,0
Titans,103,1204,11.7,3,18,5,70,51,49.5,1
