Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Browns,30,90.9,16,88.9,0,0
Cowboys,26,100,36,92.3,0,0
Broncos,25,92.6,20,90.9,1,0
Texans,25,86.2,24,100,1,0
Jets,25,96.2,8,88.9,0,1
Seahawks,25,78.1,25,100,0,0
Falcons,24,96,18,94.7,0,0
Titans,24,96,19,95,0,0
Jaguars,24,85.7,27,100,0,0
Rams,24,72.7,22,91.7,0,0
Saints,24,80,23,100,0,1
Bears,23,92,21,95.4,0,0
Colts,23,85.2,29,100,0,0
Chiefs,22,100,29,100,0,0
Steelers,22,91.7,16,100,0,0
Ravens,21,80.8,35,97.2,0,0
Eagles,21,91.3,34,97.1,0,0
Raiders,20,83.3,18,100,0,0
Cardinals,20,87,14,93.3,0,0
Panthers,19,86.4,16,94.1,0,1
Bengals,19,79.2,27,100,0,1
Chargers,19,95,30,100,0,1
Buccaneers,19,90.5,22,100,0,0
Bills,18,78.3,34,97.1,0,0
Vikings,18,78.3,27,93.1,0,0
Packers,17,81,23,88.5,0,0
49ers,17,85,43,100,0,0
Commanders,17,77.3,24,92.3,0,0
Lions,15,88.2,34,97.1,0,0
Giants,14,70,15,100,0,0
Dolphins,12,80,48,98,0,0
Patriots,12,66.7,14,100,0,0
