Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,17.7,11,195,0,4,1,45,8,1
Chargers,16.6,19,316,1,5,1,87T,15,2
Eagles,14,21,295,0,6,1,52,12,1
Saints,12.6,23,289,1,2,1,76T,21,0
Ravens,12.6,22,276,0,4,1,70,20,0
Bengals,12.3,23,283,1,4,1,81T,11,1
Seahawks,11.2,21,235,0,3,0,32,11,2
Raiders,10.8,15,162,0,1,0,32,9,1
Jets,10.2,21,215,1,1,1,65T,20,2
Lions,10.1,18,181,0,1,0,24,17,1
Jaguars,10.1,17,171,0,2,1,48,14,2
Cardinals,9.6,24,231,0,2,1,49,10,1
Colts,9.3,22,204,0,2,0,32,16,2
Panthers,9,29,261,1,3,1,79T,15,1
Bills,8.9,21,186,0,2,0,24,17,2
Buccaneers,8.8,19,168,0,1,1,51,12,2
Packers,8.8,20,176,0,3,0,35,11,3
Browns,8.7,32,277,0,1,0,21,19,2
Dolphins,8.6,21,180,0,0,0,19,21,1
Vikings,8.2,24,197,0,2,0,24,12,1
Titans,8.1,31,250,0,1,0,21,8,2
Texans,7.9,19,150,0,1,0,20,17,1
49ers,7.9,25,197,0,0,0,19,9,2
Chiefs,7.6,28,214,0,3,1,50,11,4
Commanders,7.5,29,218,0,2,1,61,11,1
Rams,7.5,22,165,0,1,0,29,15,1
Bears,7.2,11,79,0,0,0,14,16,0
Steelers,7.1,21,149,0,1,0,21,10,1
Giants,6.5,23,149,0,0,0,17,14,5
Falcons,6.2,20,123,0,0,0,16,15,1
Patriots,5.9,22,129,0,2,0,25,18,4
Cowboys,5.8,16,92,0,0,0,15,18,1
