Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Raiders,46.4,2133,46,51,70,2348,22,8,2,4,15,17,135,0,0
Cowboys,45.5,1410,31,51,63,1580,13,1,2,2,10,16,130,0,0
Titans,44.5,2447,55,52.6,74,2893,28,8,6,10,8,23,246,0,1
Seahawks,43.8,1925,44,49.1,73,2161,17,2,8,5,6,23,136,0,0
Panthers,43.5,2608,60,47,69,2823,20,3,9,3,22,23,155,0,0
Giants,43.4,3128,72,46.7,74,3362,25,6,8,4,25,29,154,0,0
Jaguars,43.3,1990,46,47.3,62,2176,25,7,4,4,15,16,106,0,0
49ers,42.8,1625,38,47.5,67,1806,19,3,8,1,10,16,161,0,0
Lions,42.6,1578,37,45.7,62,1692,18,1,5,1,15,15,94,0,0
Browns,42.6,2557,60,50.2,73,3009,19,9,4,8,11,28,292,0,0
Jets,42.4,3012,71,49.3,62,3499,25,4,5,5,22,35,387,1,0
Chiefs,42.3,1692,40,48,68,1922,13,3,6,3,14,14,170,0,0
Eagles,42.2,1602,38,48,63,1824,13,1,7,1,6,23,202,0,0
Texans,41.9,2138,51,45.7,74,2331,18,5,6,5,20,15,93,0,0
Colts,41.9,2180,52,47.5,69,2472,16,6,9,0,9,28,292,0,0
Dolphins,41.9,1425,34,45.2,66,1538,12,5,5,2,12,10,73,0,0
Cardinals,41.9,2219,53,49,66,2595,9,3,7,2,8,33,336,0,0
Falcons,41.8,2299,55,47.8,62,2629,20,9,3,2,17,24,290,0,0
Rams,41.8,1881,45,49.5,72,2227,15,5,4,5,10,21,246,0,1
Commanders,41.8,2381,57,46.6,66,2658,24,1,6,2,19,29,237,0,0
Patriots,41.7,2627,63,47.6,79,2998,28,10,5,5,15,28,271,0,0
Buccaneers,41.7,2376,57,49.6,74,2826,21,9,6,7,7,27,310,0,0
Chargers,41.5,2157,52,45,65,2340,21,4,7,3,21,17,123,0,0
Vikings,41.4,1575,38,47.6,63,1809,9,5,2,6,10,15,114,0,0
Broncos,41.2,2062,50,45.3,68,2265,14,4,4,3,17,22,143,0,0
Bengals,39.9,2196,55,44.2,62,2434,13,7,1,5,21,21,138,0,0
Ravens,39.9,1876,47,48.1,67,2260,21,5,3,4,13,22,304,1,1
Saints,39.6,2141,54,43.2,62,2335,21,6,5,4,18,21,114,0,0
Steelers,39.6,2651,67,44.7,63,2997,27,9,8,6,19,25,226,0,0
Packers,38.9,1827,47,46.4,68,2180,16,1,3,5,19,19,253,1,0
Bills,38.3,1301,34,44.5,70,1514,13,3,4,2,11,14,173,1,0
Bears,36.4,1530,42,45.7,62,1919,11,4,6,4,7,21,309,1,0
