Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Broncos,31,9,279,1,7,1,99T,2,0
Panthers,29.8,15,447,0,14,2,52,0,1
Commanders,26.8,17,455,0,13,1,40,0,1
Seahawks,26.2,18,471,0,16,1,66,0,0
Packers,26,24,623,0,20,2,51,0,0
Texans,25.7,12,308,1,7,1,85T,1,0
Colts,25.7,6,154,0,3,1,42,6,0
Vikings,25.1,7,176,0,5,0,38,1,0
Raiders,24.4,8,195,0,7,1,40,1,0
Dolphins,24.4,11,268,0,11,0,33,0,0
Jaguars,24,14,336,0,10,1,53,0,0
Browns,23.1,7,162,0,5,0,33,1,0
Bengals,22.9,15,343,0,10,2,46,0,0
49ers,22.8,13,297,0,8,0,34,0,0
Steelers,22.3,18,402,0,12,0,37,2,0
Cowboys,22.3,13,290,0,6,2,63,0,0
Jets,21.8,15,327,0,9,0,30,1,1
Bills,21.7,11,239,0,6,1,41,4,0
Lions,21.7,16,347,0,8,0,31,2,1
Chiefs,21.4,7,150,0,5,0,31,1,0
Bears,21.4,14,299,0,9,0,37,2,0
Saints,21.2,17,361,0,9,0,28,1,1
Eagles,21.1,8,169,0,4,0,38,5,0
Patriots,20.8,10,208,0,6,1,43,1,0
Giants,20.8,12,249,0,7,0,36,1,0
Chargers,20.7,7,145,0,5,0,27,1,0
Titans,20.3,15,304,0,9,0,33,8,0
Buccaneers,20.1,14,281,0,6,0,32,2,0
Ravens,19.1,8,153,0,4,0,28,4,0
Cardinals,18.6,11,204,0,5,0,28,1,0
Falcons,17.6,11,193,0,4,0,29,0,0
Rams,17.1,7,120,0,3,0,36,7,0
