Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Cowboys,81,5257,76,93.8,3,31,0,0,1,0
Dolphins,71,4605,60,84.5,11,30.2,0,0,0,1
Ravens,70,4499,59,84.3,10,22,0,0,0,0
49ers,70,4414,39,55.7,28,23.2,0,0,2,0
Bills,69,4330,39,56.5,23,20.4,1,0,1,0
Colts,69,4421,51,73.9,12,24.7,0,0,0,0
Eagles,67,4293,53,79.1,13,29.8,1,0,0,0
Lions,66,4119,42,63.6,19,20.4,2,0,0,0
Browns,65,4122,41,63.1,16,17.5,0,0,0,0
Jaguars,65,4175,49,75.4,12,25.8,0,0,0,1
Texans,63,3993,39,61.9,22,22.1,0,0,0,0
Rams,62,3936,54,87.1,7,30.3,1,0,0,0
Saints,62,4024,53,85.5,9,20.6,0,0,0,0
Seahawks,62,3955,43,69.4,15,22.3,0,0,1,0
Broncos,61,3870,55,90.2,4,19,2,0,0,0
Bears,60,3760,48,80,9,25.1,2,0,0,0
Chiefs,60,3938,55,91.7,5,27,0,0,0,0
Vikings,60,3832,44,73.3,14,24.3,1,0,1,0
Chargers,60,3861,51,85,8,18.5,0,0,0,0
Bengals,57,3573,44,77.2,9,19,2,0,0,0
Packers,57,3633,29,50.9,24,23.2,1,0,1,0
Commanders,57,3602,55,96.5,0,0,2,0,0,0
Falcons,56,3635,47,83.9,8,22.2,0,0,0,0
Cardinals,56,3485,47,83.9,4,22.2,3,1,0,0
Buccaneers,56,3552,38,67.9,15,18.5,0,0,0,0
Titans,53,3288,30,56.6,20,22.6,2,0,0,0
Steelers,52,3301,35,67.3,14,26.4,0,0,0,0
Raiders,51,3278,34,66.7,17,21.6,0,0,0,0
Jets,49,3109,41,83.7,5,16.4,1,0,0,0
Panthers,48,2892,30,62.5,13,24.8,4,0,1,0
Giants,43,2763,33,76.7,9,27.1,0,0,1,0
Patriots,41,2574,28,68.3,12,23.4,1,0,0,0
