Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,93,59.2,78,16.6,0
Bills,0,0,0,0,102,65.4,135,24.6,0
Bears,0,0,0,0,67,54.5,115,19.9,0
Bengals,0,0,0,0,110,58.8,114,23.7,0
Browns,0,0,0,0,112,53.6,119,22.3,0
Cowboys,0,0,0,0,140,63.1,111,20.6,0
Broncos,0,0,0,0,114,67.9,106,21.2,0
Lions,0,0,0,0,120,59.7,123,23.8,0
Packers,0,0,0,0,94,57.3,99,20.4,0
Oilers,0,0,0,0,110,48.5,71,17.1,0
Colts,0,0,0,0,144,67,133,23.5,0
Chiefs,0,0,0,0,152,66.4,103,20.7,0
Rams,0,0,0,0,111,64.9,143,23.3,0
Raiders,0,0,0,0,146,62.9,137,24.6,0
Dolphins,0,0,0,0,125,64.8,122,24.8,0
Vikings,0,0,0,0,150,55.6,125,23.2,0
Patriots,0,0,0,0,95,65.1,150,25.4,0
Saints,0,0,0,0,111,53.9,92,21.4,0
Giants,0,0,0,0,97,55.4,98,18.5,0
Jets,0,0,0,0,93,51.7,104,23.7,0
Eagles,0,0,0,0,91,50,109,21.6,0
Cardinals,0,0,0,0,142,64.6,140,24.1,0
Steelers,0,0,0,0,94,65.7,163,25,0
Chargers,0,0,0,0,127,57,111,23.5,0
49ers,0,0,0,0,91,58.7,131,22.7,0
Seahawks,0,0,0,0,140,61.1,75,20,0
Buccaneers,0,0,0,0,93,51.4,71,16.4,0
Redskins,0,0,0,0,122,65.2,114,20.8,0
