Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Chargers,25.2,60,1510,2,40,5,94,0,2
Raiders,22.7,62,1407,1,29,5,97T,0,0
Patriots,21.9,57,1248,1,34,2,95T,0,1
Seahawks,21.8,62,1352,0,34,2,65,0,1
Steelers,21.3,74,1575,2,33,4,92,0,3
Browns,21.1,55,1159,0,25,1,84,0,0
Buccaneers,21,64,1345,0,30,2,51,0,0
Dolphins,21,65,1365,0,40,1,44,0,2
Broncos,20.8,59,1226,0,33,0,38,0,3
Vikings,20.7,56,1160,0,37,0,30,0,2
Oilers,20.5,60,1232,1,23,3,90T,0,1
Cowboys,20.2,70,1417,0,37,2,53,0,2
Rams,20.2,59,1191,0,27,4,73,0,3
Saints,20.1,70,1408,0,34,1,57,0,3
Bears,19.9,45,896,0,23,2,51,1,1
Colts,19.9,52,1033,0,27,1,40,0,2
Lions,19.6,59,1154,0,28,1,46,0,4
Jets,19.5,72,1404,0,33,3,48,0,1
Bills,18.7,50,935,0,26,0,37,0,2
Giants,18.6,62,1154,0,28,1,40,0,6
Cardinals,18.5,61,1131,0,26,1,41,0,1
Bengals,18.5,57,1054,1,17,1,98T,1,3
Packers,18.4,64,1181,0,27,2,46,0,3
Redskins,18.3,74,1355,0,29,1,44,0,4
Falcons,17.9,59,1057,0,24,0,36,0,3
49ers,17.8,55,978,0,20,2,44,1,3
Eagles,17.4,59,1028,0,19,0,32,1,1
Chiefs,16.5,56,925,0,17,0,31,0,5
