Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Oilers,92,5545,22,23.9,69,19.8,0,0,1,1
Bengals,88,5228,23,26.1,61,21.9,0,0,4,0
Rams,88,4922,3,3.4,81,19.3,0,0,2,1
Vikings,86,4967,2,2.3,81,20,0,0,3,0
Jets,83,4914,10,12,70,21.4,0,0,2,0
Eagles,83,4830,14,16.9,63,19.9,0,0,6,0
49ers,83,4860,7,8.4,73,18.7,0,0,3,0
Giants,82,4535,4,4.9,73,17.4,0,0,3,0
Steelers,81,4818,15,18.5,63,21.4,0,2,0,1
Bills,80,4352,5,6.2,69,16.2,0,0,5,0
Colts,79,4654,11,13.9,67,22.1,0,0,1,1
Broncos,78,4443,19,24.4,52,19.9,0,1,2,0
Seahawks,78,4702,11,14.1,65,18.4,0,0,1,0
Redskins,78,4536,15,19.2,61,18.3,0,0,0,0
Raiders,74,4298,10,13.5,61,21.3,0,1,0,0
Cardinals,74,4143,6,8.1,64,21.4,0,1,0,1
Saints,73,4641,29,39.7,43,19.1,0,0,0,0
Browns,72,4170,12,16.7,58,16.8,0,0,2,0
Bears,68,3923,9,13.2,56,20.2,0,0,2,0
Dolphins,68,3999,10,14.7,53,20.9,0,0,2,0
Chiefs,66,3874,7,10.6,57,24.2,0,0,1,2
Buccaneers,64,3588,8,12.5,52,21.7,0,0,1,0
Cowboys,63,3514,3,4.8,56,18.9,0,1,1,0
Falcons,60,3511,8,13.3,48,20.5,0,0,3,0
Lions,60,3404,1,1.7,56,19.2,0,0,2,0
Packers,59,3264,4,6.8,49,19.7,0,1,1,0
Patriots,59,3589,13,22,45,20,0,0,1,0
Chargers,58,3433,9,15.5,47,22.4,0,0,1,1
