Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Bills,32,86.5,33,100,0,0
Steelers,28,77.8,34,97.1,2,0
Chiefs,27,84.4,23,100,0,0
49ers,27,71,40,97.6,0,2
Saints,26,72.2,32,97,0,1
Colts,25,78.1,39,97.5,0,1
Browns,24,82.8,32,97,0,0
Rams,24,75,45,93.8,0,0
Giants,24,80,39,95.1,0,0
Broncos,23,63.9,36,97.3,0,0
Jets,23,82.1,43,100,0,1
Eagles,23,71.9,42,97.7,0,0
Oilers,22,64.7,48,96,1,0
Seahawks,22,78.6,39,100,0,0
Buccaneers,21,70,28,100,0,0
Lions,20,95.2,22,95.6,0,0
Vikings,20,80,48,98,0,0
Falcons,19,63.3,25,92.6,0,0
Redskins,19,73.1,40,97.6,0,0
Raiders,18,62.1,37,94.9,1,0
Bears,15,79,37,97.4,0,0
Chargers,14,70,27,100,2,0
Cowboys,13,52,32,100,0,0
Packers,13,52,23,79.3,0,1
Patriots,13,54.2,25,80.6,1,0
Bengals,12,66.7,56,94.9,1,0
Dolphins,12,52.2,37,94.9,0,0
Cardinals,12,57.1,42,95.4,0,0
