Team,Rsh TD,Rec TD,Tot TD,2-PT
Lions,27,30,58,3
Dolphins,27,30,61,0
49ers,27,33,61,0
Ravens,26,27,55,2
Bills,22,29,54,3
Eagles,22,24,49,1
Colts,19,18,42,4
Rams,18,26,44,4
Jaguars,17,22,41,3
Cardinals,17,18,36,4
Bears,16,19,37,1
Titans,16,14,31,1
Steelers,16,13,31,1
Browns,15,24,42,6
Falcons,14,17,32,2
Cowboys,14,36,56,3
Commanders,14,24,39,3
Saints,13,28,44,4
Bengals,12,27,41,1
Raiders,11,20,36,2
Chargers,11,24,36,1
Seahawks,11,23,37,2
Packers,10,32,44,2
Texans,10,27,40,2
Giants,10,15,29,1
Chiefs,9,28,39,0
Patriots,9,16,27,0
Broncos,8,28,38,4
Buccaneers,8,28,37,2
Panthers,7,13,23,3
Vikings,7,30,39,1
Jets,7,11,22,3
