Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Browns,253,80,32,18,173,48.7,121,23.4,1187
Panthers,249,85,48,23,150,42.9,111,24.9,1096
Giants,248,75,37,18,141,41.7,97,21.4,1057
Bears,238,98,26,13,169,52.6,137,25.7,1097
Chargers,237,91,32,15,204,49.9,89,20.6,1106
Buccaneers,236,98,18,12,188,51.6,79,18,1047
Saints,235,91,19,9,199,49,112,23.3,1121
Jets,235,61,29,17,156,43.8,77,19.8,1053
Texans,232,88,21,8,215,57.8,84,18.9,1083
Colts,232,82,32,16,178,50.1,113,23.6,1094
Steelers,232,85,19,9,153,47.4,115,23.6,1029
Cowboys,230,111,23,13,229,53.5,113,24.2,1122
Jaguars,228,87,29,13,199,48.3,98,21.6,1114
Rams,226,95,21,13,206,57.1,110,23.1,1094
Falcons,225,90,19,8,181,55.4,121,23.2,1092
Eagles,225,108,26,19,197,53.4,149,29.2,1112
Cardinals,225,88,34,15,173,48.7,127,27,1068
Lions,224,93,40,21,228,55.9,124,24.8,1137
Packers,223,105,24,12,211,56.4,101,22.9,1052
Vikings,223,85,29,17,220,51.9,79,20.1,1071
Patriots,222,67,25,9,153,43.6,93,22.4,1019
Broncos,220,81,20,13,154,45.7,116,25.7,1016
Chiefs,220,96,20,10,216,51.3,107,25.7,1080
Bills,219,109,16,9,199,51.7,158,30.9,1115
Bengals,218,82,20,9,208,49.5,90,23.5,1048
Raiders,216,77,23,14,182,52.3,83,20.1,1010
Commanders,216,77,29,16,190,46.7,99,27.6,1060
Titans,212,71,20,11,158,52,103,23.2,1002
Ravens,207,87,14,8,180,54.9,144,26.6,1076
Seahawks,207,75,16,6,189,50.9,93,24.4,995
Dolphins,202,85,25,11,223,56.7,113,24.8,1053
49ers,179,85,13,7,207,61.6,147,29.5,1024
