Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Commanders,636,407,64,6.6,4174,24,21,81.6,190,29.9,48,5,51T,65,449
Chiefs,635,421,66.3,6.9,4383,28,17,89.6,216,34,52,8,67T,28,195
Chargers,632,409,64.7,6.8,4312,24,8,91.8,204,32.3,55,7,79,43,355
Vikings,631,424,67.2,7.4,4700,30,19,92.4,220,34.9,74,7,62T,47,341
Browns,624,355,56.9,6.4,4011,24,23,73.7,173,27.7,53,15,75,45,318
Jaguars,620,412,66.4,7.1,4377,22,14,89.3,199,32.1,51,10,65T,41,251
Bengals,615,420,68.3,6.9,4257,27,14,93,208,33.8,46,10,80,50,362
Cowboys,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92T,40,263
Lions,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70T,31,205
Saints,606,406,67,7,4225,28,11,94.8,199,32.8,52,11,58T,35,235
Jets,601,356,59.2,5.6,3373,11,15,70.5,156,26,37,3,68T,64,454
Texans,592,372,62.8,7.7,4578,27,8,96.2,215,36.3,69,10,75,47,405
Panthers,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48T,65,504
Rams,583,361,61.9,7.4,4300,26,13,90,206,35.3,64,8,80,34,237
Packers,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242
Bills,579,385,66.5,7.4,4306,29,18,92.2,199,34.4,49,9,81T,24,152
Seahawks,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73T,38,257
Colts,574,355,61.8,6.8,3882,18,10,85,178,31,45,11,75,41,216
Buccaneers,568,364,64.1,7.1,4044,28,10,94.2,188,33.1,60,12,75T,40,232
Dolphins,566,393,69.4,8.3,4698,30,15,101.2,223,39.4,59,12,78,31,184
Eagles,563,369,65.5,7.2,4067,24,16,89.2,197,35,50,7,63T,39,233
Raiders,557,348,62.5,6.6,3666,20,18,80.1,182,32.7,35,5,50T,40,286
Patriots,557,351,63,6.1,3392,16,21,73.8,153,27.5,34,4,58T,47,323
Cardinals,555,355,64,6.2,3430,18,12,82.9,173,31.2,38,3,69T,42,286
Falcons,530,327,61.7,7.1,3775,17,17,80.5,181,34.2,46,10,75,40,251
Giants,518,338,65.2,6.5,3351,15,12,83.4,141,27.2,44,7,80T,85,465
Bears,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325
Broncos,513,337,65.7,7,3566,28,9,96.7,154,30,44,13,60,52,304
Steelers,506,323,63.8,6.8,3421,13,9,84.6,153,30.2,41,9,86,36,258
Ravens,494,328,66.4,7.9,3881,27,7,102.5,180,36.4,52,9,80T,41,246
Titans,494,304,61.5,7.1,3512,14,11,83.2,158,32,54,10,70,64,445
49ers,491,336,68.4,9.3,4577,33,12,110.2,207,42.2,75,15,76T,34,193
