Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens,541,2661,4.9,26,21,4,60,144,26.6,7
Bears,534,2399,4.5,16,13,0,39T,137,25.7,5
Falcons,522,2159,4.1,14,11,0,38,121,23.2,13
Browns,518,2017,3.9,15,9,3,69,121,23.4,9
Bills,512,2212,4.3,22,9,1,42,158,30.9,9
Eagles,510,2190,4.3,22,11,1,43,149,29.2,9
Lions,500,2311,4.6,27,15,3,75,124,24.8,7
49ers,499,2389,4.8,27,11,3,72,147,29.5,5
Steelers,487,2010,4.1,16,14,1,74T,115,23.6,9
Saints,480,1742,3.6,13,4,0,29,112,23.3,6
Colts,479,2059,4.3,19,14,4,56,113,23.6,4
Rams,477,2045,4.3,18,11,1,56,110,23.1,2
Cardinals,471,2365,5,17,23,5,49,127,27,9
Cowboys,468,1920,4.1,14,12,1,46,113,24.2,4
Dolphins,456,2308,5.1,27,17,8,76T,113,24.8,13
Giants,454,1874,4.1,10,12,0,36,97,21.4,8
Jaguars,453,1646,3.6,17,9,1,62T,98,21.6,5
Broncos,451,1810,4,8,9,0,38,116,25.7,5
Panthers,445,1769,4,7,9,1,48T,111,24.9,5
Titans,444,1846,4.2,16,10,2,69,103,23.2,6
Texans,444,1647,3.7,10,4,0,24,84,18.9,5
Packers,441,1905,4.3,10,13,1,40T,101,22.9,6
Buccaneers,439,1509,3.4,8,5,0,38T,79,18,4
Chargers,431,1642,3.8,11,9,3,55T,89,20.6,6
Chiefs,417,1784,4.3,9,10,1,48T,107,25.7,2
Patriots,415,1627,3.9,9,3,1,64,93,22.4,3
Raiders,413,1542,3.7,11,7,3,63,83,20.1,5
Vikings,393,1553,4,7,5,0,31,79,20.1,9
Jets,388,1647,4.2,7,9,4,83,77,19.8,11
Bengals,383,1527,4,12,7,1,44,90,23.5,1
Seahawks,382,1580,4.1,11,13,1,45T,93,24.4,2
Commanders,359,1592,4.4,14,8,0,29,99,27.6,6
