Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Cowboys,428,4660,10.9,36,64,7,92,229,53.5,6
Vikings,424,4700,11.1,30,74,7,62,220,51.9,4
Chiefs,421,4383,10.4,28,52,8,67,216,51.3,7
Bengals,420,4257,10.1,27,46,10,80,208,49.5,3
Jaguars,412,4377,10.6,22,51,10,65,199,48.3,8
Chargers,409,4312,10.5,24,55,7,79,204,49.9,8
Lions,408,4606,11.3,30,70,9,70,228,55.9,4
Commanders,407,4174,10.3,24,48,5,51,190,46.7,5
Saints,406,4225,10.4,28,52,11,58T,199,49,0
Dolphins,393,4698,12,30,59,12,78,223,56.7,4
Bills,385,4306,11.2,29,49,9,81,199,51.7,6
Packers,374,4210,11.3,32,56,7,77,211,56.4,5
Texans,372,4578,12.3,27,69,10,75,215,57.8,3
Seahawks,371,4167,11.2,23,56,6,73,189,50.9,0
Eagles,369,4067,11,24,50,7,63,197,53.4,4
Buccaneers,364,4044,11.1,28,60,12,75,188,51.6,7
Rams,361,4300,11.9,26,64,8,80,206,57.1,4
Jets,356,3373,9.5,11,37,3,68,156,43.8,2
Browns,355,4011,11.3,24,53,15,75,173,48.7,5
Colts,355,3882,10.9,18,45,11,75,178,50.1,3
Cardinals,355,3430,9.7,18,38,3,69,173,48.7,2
Patriots,351,3392,9.7,16,34,4,58,153,43.6,5
Panthers,350,3245,9.3,13,31,5,48T,150,42.9,7
Raiders,348,3666,10.5,20,35,5,50,182,52.3,3
Giants,338,3351,9.9,15,44,7,80,141,41.7,3
Broncos,337,3566,10.6,28,44,13,60,154,45.7,7
49ers,336,4577,13.6,33,75,15,76,207,61.6,3
Ravens,328,3881,11.8,27,52,9,80,180,54.9,6
Falcons,327,3775,11.5,17,46,10,75,181,55.4,2
Steelers,323,3421,10.6,13,41,9,86,153,47.4,6
Bears,321,3421,10.7,19,48,5,58T,169,52.6,4
Titans,304,3512,11.6,14,54,10,70,158,52,2
