Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Dolphins,83,0,27,32.5,0,0,0,0,0,0
Jets,80,0,32,40,0,0,0,0,0,0
Steelers,80,0,26,32.5,0,0,0,0,0,0
Raiders,76,0,16,21,0,0,0,0,0,0
49ers,75,0,9,12,0,0,0,0,0,0
Lions,74,0,6,8.1,0,0,0,0,0,0
Packers,74,0,28,37.8,0,0,0,0,0,0
Giants,74,0,11,14.9,0,0,0,0,0,0
Bengals,72,0,28,38.9,0,0,0,0,0,0
Cowboys,71,0,19,26.8,0,0,0,0,0,0
Broncos,71,0,17,23.9,0,0,0,0,0,0
Redskins,70,0,17,24.3,0,0,0,0,0,0
Vikings,69,0,7,10.1,0,0,0,0,0,0
Chiefs,67,0,24,35.8,0,0,0,0,0,0
Rams,66,0,11,16.7,0,0,0,0,0,0
Browns,63,0,13,20.6,0,0,0,0,0,0
Falcons,61,0,13,21.3,0,0,0,0,0,0
Chargers,61,0,8,13.1,0,0,0,0,0,0
Bills,60,0,31,51.7,0,0,0,0,0,0
Bears,54,0,12,22.2,0,0,0,0,0,0
Colts,54,0,4,7.4,0,0,0,0,0,0
Saints,52,0,2,3.8,0,0,0,0,0,0
Cardinals,50,0,9,18,0,0,0,0,0,0
Patriots,48,0,16,33.3,0,0,0,0,0,0
Oilers,46,0,17,37,0,0,0,0,0,0
Eagles,46,0,5,10.9,0,0,0,0,0,0
