Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Raiders,11.5,58,666,1,8,1,97T,18,8
Lions,11.4,46,522,1,4,3,81T,9,5
Broncos,11,38,420,1,5,1,70T,10,3
Jets,11,38,420,1,4,1,76T,15,4
Seahawks,10.8,34,366,1,1,1,75T,6,2
Falcons,10.6,46,489,1,5,2,71T,4,2
Dolphins,10.6,55,581,1,5,2,62T,23,3
49ers,10.1,36,365,1,3,3,56T,9,1
Rams,9.8,55,538,1,5,2,72T,8,6
Patriots,9.1,44,399,0,4,2,55,14,10
Cowboys,9,51,461,1,4,1,68T,6,3
Vikings,8.8,24,210,0,1,0,34,15,2
Bengals,8.4,49,410,0,2,1,43,6,5
Steelers,8.2,51,421,0,3,1,57,9,5
Packers,8,41,329,1,3,1,90T,13,2
Bears,8,56,447,1,4,1,59T,7,2
Oilers,8,20,159,0,1,0,23,9,2
Cardinals,8,58,461,0,3,0,34,4,4
Redskins,7.9,49,387,0,5,1,42,5,1
Browns,7.4,42,310,0,0,0,19,12,1
Chiefs,7.3,40,291,0,0,0,19,14,1
Buccaneers,7.1,42,299,0,0,0,17,7,2
Saints,7,39,275,0,1,0,30,15,3
Giants,6.8,55,377,0,3,0,27,7,7
Colts,6.7,44,294,0,2,1,50,14,3
Chargers,6.4,33,213,0,4,0,30,10,6
Eagles,5.8,45,259,0,1,0,23,10,7
Bills,5.5,44,241,0,1,0,24,5,5
