Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Giants,35,83.3,22,95.6,0,0
Redskins,33,70.2,62,98.4,0,0
Colts,30,85.7,22,91.7,0,0
Steelers,27,87.1,38,97.4,0,0
Lions,25,78.1,38,100,0,1
Vikings,25,75.8,33,97.1,0,0
49ers,25,83.3,51,100,0,1
Chiefs,24,80,44,97.8,0,0
Browns,22,88,38,95,0,0
Cowboys,22,81.5,57,96.6,0,1
Broncos,21,84,33,97.1,0,1
Packers,21,80.8,52,100,0,1
Raiders,21,77.8,51,96.2,0,1
Dolphins,18,66.7,45,93.8,0,1
Saints,18,75,37,97.4,0,0
Seahawks,18,72,49,98,1,1
Falcons,17,77.3,43,95.6,0,1
Oilers,17,81,33,97.1,2,0
Bengals,16,69.6,39,95.1,0,0
Jets,16,66.7,36,97.3,0,1
Eagles,15,57.7,24,88.9,0,0
Cardinals,15,53.6,45,95.7,0,0
Chargers,15,62.5,43,95.6,0,0
Bears,14,56,35,92.1,0,1
Bills,11,42.3,34,94.4,0,0
Rams,11,55,42,91.3,0,1
Buccaneers,10,41.7,25,86.2,0,0
Patriots,9,40.9,31,86.1,0,0
