Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Dolphins,23.1,47,1085,0,29,4,78,0,2
Seahawks,22.2,71,1575,1,41,3,94T,0,1
Vikings,21.6,68,1466,0,34,4,50,0,0
Bills,21.3,64,1363,0,35,5,60,0,6
Jets,20.8,66,1375,0,36,4,64,0,4
Redskins,20.6,63,1301,0,28,4,58,0,0
Browns,20.5,63,1290,0,34,0,38,0,0
Bengals,20.3,54,1097,0,28,1,49,0,2
Saints,20.3,66,1339,0,31,4,61,0,1
Patriots,20.3,57,1155,0,32,1,53,0,6
Cardinals,20.3,72,1459,0,34,1,66,0,5
Oilers,20.2,83,1676,2,28,4,97,0,3
Lions,19.5,61,1191,0,31,1,51,0,2
Colts,19.3,62,1198,0,24,3,90,0,3
Buccaneers,19.3,68,1314,0,36,3,50,0,5
Raiders,19.3,61,1175,0,32,2,48,1,3
Broncos,19.2,56,1077,0,33,1,42,0,2
Cowboys,19,71,1351,0,32,4,53,0,4
Eagles,18.8,62,1168,0,28,2,52,0,1
Falcons,18.8,67,1258,0,29,0,35,0,7
Giants,18.8,71,1333,0,31,1,54,0,2
Chargers,18.6,74,1377,0,32,1,41,0,3
49ers,18.4,52,958,0,19,1,46,0,0
Rams,18.2,52,946,0,23,2,44,0,3
Steelers,18.1,59,1068,0,23,0,35,0,4
Chiefs,17.2,54,929,0,23,1,46,1,1
Packers,17,79,1339,0,31,1,57,0,7
Bears,16.4,58,953,0,20,0,38,0,1
