Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Ravens,578,369,63.8,6.4,3724,28,18,190,32.9,31
Saints,582,378,65,7.5,4380,27,9,230,39.5,30
Cardinals,547,344,62.9,6.2,3365,21,14,175,32,48
Jaguars,551,345,62.6,6.2,3444,20,7,174,31.6,33
Packers,571,370,64.8,7.5,4308,32,17,227,39.8,40
Eagles,553,333,60.2,6.9,3832,25,16,177,32,34
Redskins,589,387,65.7,7,4130,22,13,225,38.2,38
Giants,630,369,58.6,6.4,4018,15,17,191,30.3,35
Raiders,541,328,60.6,7.6,4120,27,16,188,34.8,25
Steelers,590,381,64.6,6.6,3882,20,13,184,31.2,38
Lions,549,399,72.7,7.2,3975,33,10,206,37.5,26
Vikings,548,332,60.6,6.1,3327,22,14,186,33.9,41
Colts,582,378,65,7.2,4200,27,8,225,38.7,33
Texans,522,319,61.1,6.2,3226,20,11,157,30.1,31
Chargers,580,364,62.8,6.9,3987,21,18,204,35.2,35
Buccaneers,548,347,63.3,7.3,4012,24,17,203,37,38
Broncos,552,306,55.4,5.4,2972,13,14,169,30.6,42
Browns,543,347,63.9,7.4,3996,36,10,220,40.5,26
Seahawks,537,331,61.6,6.7,3612,16,11,180,33.5,42
Panthers,612,409,66.8,7,4291,27,17,223,36.4,47
Bengals,593,374,63.1,6.4,3800,22,17,196,33,33
Bears,530,342,64.5,6.8,3598,22,8,188,35.5,37
Patriots,596,368,61.7,6.4,3806,21,13,190,31.9,34
Jets,545,347,63.7,7.2,3898,30,8,203,37.2,27
Chiefs,598,350,58.5,6.6,3958,23,18,209,35,28
Falcons,655,422,64.4,6.5,4267,31,12,232,35.4,34
Rams,582,378,65,6.4,3732,32,10,194,33.3,31
Titans,635,388,61.1,6.8,4307,25,12,227,35.8,40
49ers,521,322,61.8,7.4,3848,30,10,187,35.9,33
Cowboys,633,425,67.1,6.6,4167,25,9,226,35.7,36
Dolphins,591,368,62.3,6.6,3875,30,16,199,33.7,33
Bills,511,306,59.9,7,3582,19,12,183,35.8,39
