Team,FF,FR,FR TD
Cardinals,21,13,1
Raiders,20,14,0
Panthers,18,10,2
Cowboys,18,11,0
Falcons,17,10,2
Redskins,17,7,0
Broncos,16,13,1
Chiefs,16,15,1
Dolphins,16,9,0
Patriots,16,9,0
Steelers,16,10,1
Seahawks,16,8,1
Buccaneers,16,12,0
Colts,15,9,1
Giants,15,8,2
Eagles,15,10,0
49ers,15,10,0
Ravens,14,10,1
Jets,14,4,0
Chargers,14,10,2
Vikings,13,13,2
Rams,12,8,1
Bills,11,6,2
Bears,11,3,1
Saints,11,12,0
Jaguars,10,6,0
Packers,9,8,0
Lions,8,4,0
Texans,7,6,0
Bengals,6,3,0
Browns,6,3,0
Titans,4,6,1
