Team,INT,INT TD,INT Yds,Lng
Ravens,18,0,178,53
Chiefs,18,4,271,55
Chargers,18,3,292,90
Panthers,17,1,204,37
Bengals,17,0,138,47
Packers,17,0,209,44
Giants,17,1,174,44
Buccaneers,17,4,234,53
Raiders,16,1,147,40
Dolphins,16,1,186,60
Eagles,16,3,207,64
Broncos,14,3,367,51
Vikings,14,2,253,100
Cardinals,14,2,263,66
Patriots,13,0,109,46
Steelers,13,0,133,58
Redskins,13,0,186,79
Falcons,12,3,279,90
Bills,12,1,207,49
Titans,12,0,68,33
Texans,11,1,132,42
Seahawks,11,0,72,31
Browns,10,1,146,67T
Lions,10,1,96,39
Rams,10,0,71,29
49ers,10,0,96,39
Cowboys,9,0,75,27
Saints,9,0,109,30T
Bears,8,1,73,25
Colts,8,0,100,56
Jets,8,0,141,51
Jaguars,7,1,104,35
