Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Cowboys,22,62.9,38,95,1,1
Chiefs,22,68.8,30,96.8,0,0
Broncos,21,72.4,23,88.5,0,0
Rams,21,80.8,31,86.1,0,0
Eagles,20,69,21,87.5,0,0
Cardinals,19,79.2,40,97.6,1,1
Oilers,18,60,31,91.2,1,3
Browns,17,73.9,21,87.5,0,0
Steelers,17,81,44,95.6,1,0
Redskins,16,64,37,94.9,0,1
Lions,14,66.7,25,86.2,0,0
49ers,14,50,27,87.1,0,0
Bears,13,56.5,18,81.8,0,0
Raiders,13,61.9,44,91.7,1,0
Dolphins,13,81.2,40,87,0,1
Vikings,13,76.5,46,95.8,0,0
Jets,13,61.9,27,90,0,0
Packers,12,70.6,22,81.5,1,0
Chargers,12,50,20,95.2,0,1
Saints,11,52.4,18,100,0,0
Bengals,10,47.6,40,88.9,0,0
Colts,10,55.6,51,98.1,0,0
Bills,9,56.2,51,89.5,0,0
Patriots,9,52.9,33,100,1,0
Giants,6,54.6,24,82.8,0,1
Falcons,4,40,30,90.9,0,0
