Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Raiders,26,51,1324,1,0,0,102T,0,0
Broncos,24.5,59,1446,0,0,0,58,0,0
Cardinals,24.3,55,1337,1,0,0,93T,0,0
Dolphins,23.7,40,949,0,0,0,42,0,0
Eagles,23.5,59,1388,0,0,0,42,0,0
Bills,23.5,62,1457,0,0,0,59,0,0
Patriots,23,66,1520,1,0,0,99T,0,0
Jets,23,74,1704,0,0,0,53,0,0
Colts,22.9,52,1190,0,0,0,65,0,0
49ers,22.9,60,1372,0,0,0,52,0,0
Browns,22.8,67,1526,0,0,0,92,0,0
Giants,22.7,55,1250,0,0,0,64,0,0
Bengals,22.6,46,1042,0,0,0,64,0,0
Rams,22.5,34,764,0,0,0,46,0,0
Redskins,22.3,58,1296,0,0,0,50,0,0
Bears,22.2,74,1644,0,0,0,70,0,0
Packers,22.2,63,1398,1,0,0,93T,0,0
Chiefs,21.8,62,1350,0,0,0,53,0,0
Chargers,21.5,69,1482,0,0,0,41,0,0
Steelers,21.4,38,815,1,0,0,94T,0,0
Cowboys,21.4,54,1158,1,0,0,97T,0,0
Lions,21.4,52,1114,0,0,0,42,0,0
Oilers,21.2,54,1144,1,0,0,81T,0,0
Saints,20.9,63,1319,0,0,0,88,0,0
Vikings,20.7,38,787,0,0,0,63,0,0
Falcons,18.4,66,1217,0,0,0,33,0,0
