Team,Rsh TD,Rec TD,Tot TD,2-PT
Bears,27,17,50,0
Giants,24,22,48,0
Colts,22,15,38,0
Bengals,20,31,53,0
Broncos,20,23,45,0
Chargers,20,37,60,0
49ers,20,28,50,0
Redskins,20,13,33,0
Dolphins,19,31,51,0
Vikings,19,22,42,0
Raiders,18,20,42,0
Jets,18,25,44,0
Browns,16,17,35,0
Packers,16,21,39,0
Rams,15,16,39,0
Patriots,15,20,38,0
Falcons,14,13,29,0
Cardinals,14,19,34,0
Steelers,14,23,40,0
Bills,13,9,22,0
Lions,13,19,33,0
Oilers,13,18,32,0
Cowboys,11,27,43,0
Buccaneers,11,22,33,0
Chiefs,10,23,34,0
Seahawks,9,28,43,0
Eagles,8,19,30,0
Saints,4,20,27,0
