Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Bengals,236,82,14,7,145,47.8,80,19,984
Ravens,232,95,11,7,147,56.3,132,22.3,1058
Buccaneers,229,88,18,10,184,51.8,100,22.2,1045
Eagles,225,93,9,4,204,56.4,94,22,1056
Packers,224,99,18,8,182,53.1,98,22.4,1012
Steelers,224,92,12,3,179,59.1,93,20.2,1015
Patriots,222,96,22,17,186,54.9,145,28.3,1095
Falcons,219,95,13,6,157,59.2,130,23.2,1011
Bears,219,78,14,6,153,50.3,98,22.6,991
Vikings,218,86,18,9,150,56.2,119,22.9,1014
Titans,216,78,11,5,143,54,108,21.3,973
Rams,216,69,23,11,140,48,95,22.8,982
Redskins,216,76,16,10,165,51.9,109,22.8,1026
Chiefs,214,82,18,7,161,51.9,94,24.8,957
Raiders,214,61,21,9,123,55.4,87,19,919
Jaguars,213,87,24,14,182,54.3,106,24.9,1005
Browns,212,72,14,6,127,53.4,84,20.5,921
Cowboys,212,91,12,7,170,51.8,102,25.4,979
Lions,205,59,20,10,143,50.9,70,19.9,913
Giants,204,88,11,5,176,59.1,130,25.9,1021
Bills,203,81,16,7,167,54,107,24.4,956
Colts,201,101,16,11,220,56,79,21.4,969
Broncos,200,95,10,4,223,57.8,103,26.6,1019
Saints,200,97,18,10,232,56.2,103,25.9,1047
Cardinals,198,83,16,8,231,55.3,72,21.2,998
Niners,198,75,11,5,176,57,82,20.6,961
Seahawks,198,62,12,10,142,54.2,103,24.7,927
Texans,197,83,23,14,210,57.2,106,24.5,1019
Jets,197,81,16,9,186,53.6,94,22.3,981
Panthers,196,77,8,3,152,61.8,118,23.4,938
Chargers,194,89,11,8,191,61.2,92,21.8,924
Dolphins,192,71,15,10,184,55.8,111,24.8,965
