Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Andre Davis,36,3,108,0,2,1,65,0,0
Jim Leonhard,36,1,36,0,1,0,36,0,0
Reche Caldwell,33,3,99,0,2,1,60,0,0
Rich Alexis,31,1,31,0,1,0,31,0,0
Terrence McGee,30.2,46,1391,1,39,8,99,0,1
Antowain Smith,30,1,30,0,1,0,30,0,0
Domanick Williams,29,1,29,0,1,0,29,0,0
Brandon Jacobs,29,2,58,0,2,0,33,0,0
Jerome Mathis,28.6,54,1542,2,38,7,99,0,1
Michael Pittman,28.3,3,85,0,3,0,37,0,0
Bryan Gilmore,28,3,84,0,3,0,29,0,0
Antonio Perkins,27.3,3,82,0,2,0,35,0,0
Bruce Perry,27.3,10,273,0,8,1,49,0,0
Justin Miller,26.3,60,1577,1,49,5,95,0,2
Jerricho Cotchery,26.2,4,105,0,3,0,30,0,0
Adam Jones,26.2,43,1127,0,31,5,85,0,2
Roscoe Parrish,26.1,10,261,0,7,2,45,0,0
Koren Robinson,26,47,1221,1,31,7,86,0,1
Ladell Betts,25.9,24,621,1,19,2,94,0,1
Willie Ponder,25.9,35,905,1,27,3,95,0,1
Quincy Morgan,25.4,23,583,0,12,2,74,0,1
J.J. Moses,25.3,7,177,0,5,0,35,0,0
Tim Dwight,25,10,250,0,6,0,38,0,0
Jonathan Smith,24.8,5,124,0,3,1,44,0,0
Tyson Thompson,24.5,57,1399,0,43,4,49,0,2
Derrick Wimbush,24.5,39,955,1,24,3,91,0,1
Tab Perry,24.4,64,1562,0,39,3,94,0,1
Josh Cribbs,24.3,45,1094,1,28,5,90,0,4
James Thrash,24.3,7,170,0,6,0,31,0,0
Darren Sproles,24.2,63,1528,0,43,6,58,0,2
Ellis Hobbs,24.1,15,361,0,13,0,37,0,0
Kyle Brady,24,1,24,0,1,0,24,0,0
Chris Carr,24,73,1752,0,54,2,62,0,1
Aveion Cason,24,2,48,0,1,0,29,0,0
Dante Hall,24,65,1560,1,40,6,96,0,4
Andrew Pinnock,24,1,24,0,1,0,24,0,0
Darrent Williams,23.9,18,431,0,14,0,36,0,0
R.W. McQuarters,23.8,16,381,0,7,2,73,0,1
