Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Neil Rackers,40,42,95.2,0/0,11/11,10/10,13/14,6/7,0/0,54,0
Jay Feely,35,42,83.3,0/0,11/13,13/14,8/10,3/5,0/0,52,1
Matt Stover,30,34,88.2,1/1,8/8,10/11,11/14,0/0,0/0,49,0
Rian Lindell,29,35,82.9,0/0,8/9,11/13,7/10,0/0,0/0,53,0
Shayne Graham,28,32,87.5,0/0,11/11,10/11,7/9,0/1,0/0,49,0
Phil Dawson,27,29,93.1,2/2,11/11,9/11,5/5,0/0,0/0,44,0
Lawrence Tynes,27,33,81.8,1/1,8/8,12/13,4/8,2/3,0/0,52,1
Jeff Wilkins,27,31,87.1,0/0,6/7,8/8,9/11,0/0,0/0,53,0
Kris Brown,26,34,76.5,0/0,9/9,12/17,4/6,0/0,0/0,53,1
John Kasay,26,34,76.5,1/1,8/8,8/8,6/9,3/7,0/1,52,1
Joe Nedney,26,28,92.9,0/0,4/4,10/11,10/10,2/3,0/0,56,0
John Carney,25,32,78.1,1/1,12/13,4/6,8/12,0/0,0/0,49,2
Paul Edinger,25,34,73.5,0/0,11/11,3/8,8/10,3/5,0/0,56,3
Olindo Mare,25,30,83.3,0/0,9/10,9/12,6/6,1/2,0/0,53,0
Jason Elam,24,32,75,0/0,9/10,5/5,9/13,1/4,0/0,51,1
Jeff Reed,24,29,82.8,0/0,9/9,9/9,6/9,0/2,0/0,44,2
Rob Bironas,23,29,79.3,0/0,10/10,6/7,5/7,2/5,0/0,53,0
Todd Peterson,23,25,92,0/0,9/10,11/11,3/4,0/0,0/0,43,1
Josh Scobee,23,30,76.7,0/0,9/9,7/8,5/10,2/3,0/0,53,0
Mike Vanderjagt,23,25,92,1/1,9/9,6/7,7/8,0/0,0/0,48,1
Mike Nugent,22,28,78.6,0/0,8/9,7/7,7/10,0/2,0/0,49,1
Matt Bryant,21,25,84,0/0,2/4,8/8,10/11,1/2,0/0,50,0
Robbie Gould,21,27,77.8,0/0,9/9,9/10,3/8,0/0,0/0,45,0
Nate Kaeding,21,24,87.5,1/1,3/3,9/9,8/11,0/0,0/0,49,1
Sebastian Janikowski,20,30,66.7,1/1,7/8,5/6,7/12,0/2,0/1,49,1
Ryan Longwell,20,27,74.1,0/0,7/7,6/10,3/5,4/5,0/0,53,1
Adam Vinatieri,20,25,80,0/0,7/7,9/10,4/6,0/2,0/0,49,0
Jason Hanson,19,24,79.2,1/1,9/9,3/3,4/7,2/4,0/0,52,1
Josh Brown,18,25,72,0/0,5/5,4/5,4/7,5/8,0/0,55,1
David Akers,16,22,72.7,0/0,3/3,7/8,5/9,1/1,0/1,50,0
Jose Cortez,12,17,70.6,0/0,5/6,4/5,3/6,0/0,0/0,45,1
John Hall,12,14,85.7,1/1,3/3,3/3,5/6,0/1,0/0,45,0
Nick Novak,8,10,80,1/1,1/1,5/7,1/1,0/0,0/0,40,2
Todd France,7,9,77.8,0/0,4/4,1/1,2/4,0/0,0/0,44,2
Billy Cundiff,5,8,62.5,1/1,1/1,2/5,0/0,1/1,0/0,56,1
Shaun Suisham,3,4,75,0/0,3/3,0/0,0/1,0/0,0/0,22,0
Doug Brien,1,4,25,0/0,0/0,0/2,1/2,0/0,0/0,48,0
Michael Koenen,1,2,50,0/0,0/0,0/0,0/0,1/2,0/0,58,0
Aaron Elling,0,1,0,0/0,0/0,0/0,0/0,0/1,0/0,0,0
Doug Flutie,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Remy Hamilton,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Dave Rayner,0,1,0,0/0,0/0,0/0,0/0,0/1,0/0,0,0
Mark Simoneau,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
