Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Colts,576,326,56.6,6.5,3739,26,28,71.1,190,33,42,8,78T,22,109
Packers,575,361,62.8,7.6,4340,33,23,88.3,210,36.5,48,9,84T,39,230
Chargers,566,261,46.1,5.5,3115,11,34,44.9,146,25.8,33,7,67T,37,251
Redskins,565,304,53.8,6.6,3724,24,14,78.2,186,32.9,42,7,75T,61,399
Rams,556,314,56.5,6.1,3381,12,18,68.2,164,29.5,38,8,80T,47,294
Patriots,556,295,53.1,7.2,4004,23,17,77.4,184,33.1,55,17,86,40,344
49ers,556,347,62.4,8.1,4510,41,15,101.2,223,40.1,60,13,81,53,254
Cardinals,552,326,59.1,6.8,3768,17,20,74.9,179,32.4,48,6,57,50,286
Dolphins,546,316,57.9,6.6,3582,23,16,79.5,176,32.2,46,6,61T,24,187
Chiefs,543,305,56.2,6.4,3472,15,18,70.9,153,28.2,43,5,80T,36,212
Saints,535,278,52,6.6,3514,19,19,69.8,165,30.8,41,9,89,57,376
Eagles,534,282,52.8,5.1,2730,7,18,57.7,141,26.4,26,3,61T,56,317
Vikings,533,327,61.4,8.4,4492,41,16,101.5,210,39.4,62,21,67,25,164
Jets,532,318,59.8,7.6,4032,33,13,94,207,38.9,55,8,82T,25,196
Bengals,521,307,58.9,6.8,3545,20,12,82.7,148,28.4,44,13,76,53,360
Oilers,519,305,58.8,6.7,3482,16,10,81.3,171,33,43,5,55T,35,191
Raiders,519,282,54.3,6.8,3534,21,25,69.2,156,30.1,51,6,75,67,446
Panthers,507,292,57.6,7.2,3624,25,18,81.5,171,33.7,44,12,72,54,302
Giants,507,265,52.3,5.6,2822,18,15,68.3,129,25.4,36,6,87T,35,256
Bears,494,284,57.5,6.6,3277,16,13,77.5,154,31.2,36,8,79,31,224
Broncos,491,290,59.1,7.8,3808,32,14,93.5,186,37.9,48,8,58,25,184
Lions,489,274,56,7,3398,17,13,78.2,160,32.7,46,7,98T,45,268
Steelers,489,274,56,5.7,2781,13,20,64.3,135,27.6,27,5,55T,35,229
Seahawks,480,273,56.9,6.7,3219,21,18,76.4,144,30,33,10,81,34,219
Ravens,477,272,57,6.6,3152,16,15,75.2,140,29.4,36,12,73,41,283
Cowboys,474,279,58.9,7.5,3546,17,8,87.2,154,32.5,46,13,80,19,110
Jaguars,463,269,58.1,7.2,3343,24,12,87.1,153,33,44,11,78,39,231
Bills,461,269,58.4,7.8,3621,28,14,91,176,38.2,48,12,84,41,241
Buccaneers,449,234,52.1,6.2,2787,21,18,70.3,139,31,29,10,79T,28,181
Falcons,424,237,55.9,8.8,3744,28,15,92.7,175,41.3,60,11,78,53,358
