Team,Rsh TD,Rec TD,Tot TD,2-PT
Broncos,26,32,62,0
Cowboys,21,17,41,0
Jaguars,19,24,45,0
Chiefs,19,15,34,0
49ers,19,41,61,0
Falcons,18,28,49,1
Cardinals,18,17,36,0
Rams,17,12,32,3
Vikings,17,41,62,1
Redskins,15,24,40,0
Bills,13,28,42,0
Lions,12,17,32,0
Oilers,12,16,30,1
Jets,12,33,47,0
Buccaneers,12,21,36,0
Panthers,11,25,40,1
Chargers,11,11,23,1
Seahawks,11,21,43,1
Dolphins,10,23,37,0
Giants,10,18,32,0
Eagles,10,7,17,0
Bears,9,16,29,0
Patriots,9,23,35,1
Steelers,8,13,26,0
Ravens,7,16,29,0
Bengals,7,20,30,1
Packers,7,33,44,0
Colts,7,26,33,1
Raiders,6,21,33,0
Saints,6,19,31,0
