Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Packers,361,4340,12,33,48,9,84,210,58.2,6
49ers,347,4510,13,41,60,13,81,223,64.3,3
Vikings,327,4492,13.7,41,62,21,67,210,64.2,1
Colts,326,3739,11.5,26,42,8,78,190,58.3,0
Cardinals,326,3768,11.6,17,48,6,57,179,54.9,4
Jets,318,4032,12.7,33,55,8,82,207,65.1,2
Dolphins,316,3582,11.3,23,46,6,61,176,55.7,4
Rams,314,3381,10.8,12,38,8,80,164,52.2,3
Bengals,307,3545,11.6,20,44,13,76,148,48.2,4
Oilers,305,3482,11.4,16,43,5,55T,171,56.1,2
Chiefs,305,3472,11.4,15,43,5,80T,153,50.2,10
Redskins,304,3724,12.2,24,42,7,75,186,61.2,3
Patriots,295,4004,13.6,23,55,17,86,184,62.4,0
Panthers,292,3624,12.4,25,44,12,72,171,58.6,6
Broncos,290,3808,13.1,32,48,8,58T,186,64.1,2
Bears,284,3277,11.5,16,36,8,79,154,54.2,9
Raiders,282,3534,12.5,21,51,6,75T,156,55.3,6
Eagles,282,2730,9.7,7,26,3,61T,141,50,5
Cowboys,279,3546,12.7,17,46,13,80,154,55.2,3
Saints,278,3514,12.6,19,41,9,89,165,59.4,4
Lions,274,3398,12.4,17,46,7,98,160,58.4,2
Steelers,274,2781,10.2,13,27,5,55,135,49.3,0
Seahawks,273,3219,11.8,21,33,10,81,144,52.8,5
Ravens,272,3152,11.6,16,36,12,73,140,51.5,7
Bills,269,3621,13.5,28,48,12,84,176,65.4,1
Jaguars,269,3343,12.4,24,44,11,78,153,56.9,4
Giants,265,2822,10.6,18,36,6,87,129,48.7,5
Chargers,261,3115,11.9,11,33,7,67T,146,55.9,3
Falcons,237,3744,15.8,28,60,11,78,175,73.8,4
Buccaneers,234,2787,11.9,21,29,9,79,139,59.4,3
