Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Vikings,228,2692,11.8,19,0,0,69,126,55.3,0
Colts,224,2686,12,17,0,0,78,136,60.7,0
Bills,221,2803,12.7,12,0,0,42T,141,63.8,0
Cowboys,215,2689,12.5,18,0,0,67,136,63.3,0
Browns,208,2374,11.4,19,0,0,60,119,57.2,0
Chargers,206,2442,11.8,11,0,0,78,121,58.7,0
Cardinals,195,2608,13.4,14,0,0,69,117,60,0
Bengals,192,2550,13.3,12,0,0,94,112,58.3,0
Lions,191,1959,10.3,7,0,0,61T,103,53.9,0
Chiefs,190,2514,13.2,11,0,0,63,110,57.9,0
Raiders,184,2338,12.7,21,0,0,44T,125,67.9,0
Redskins,183,2284,12.5,15,0,0,59,124,67.8,0
Rams,182,2253,12.4,16,0,0,58,112,61.5,0
Dolphins,182,2264,12.4,22,0,0,73,107,58.8,0
Oilers,181,2107,11.6,14,0,0,85,91,50.3,0
Seahawks,175,2459,14,23,0,0,82,116,66.3,0
Steelers,173,2632,15.2,17,0,0,65,124,71.7,0
Jets,170,2286,13.4,14,0,0,87,96,56.5,0
Eagles,167,2198,13.2,18,0,0,55,100,59.9,0
Saints,166,1933,11.6,13,0,0,59,96,57.8,0
Packers,164,2013,12.3,6,0,0,95T,91,55.5,0
Broncos,163,2265,13.9,15,0,0,81,107,65.6,0
Bears,161,2070,12.9,11,0,0,75,94,58.4,0
Patriots,160,2162,13.5,17,0,0,68,101,63.1,0
Falcons,140,1740,12.4,8,0,0,73,80,57.1,0
49ers,136,1797,13.2,9,0,0,47,81,59.6,0
Giants,134,1762,13.2,6,0,0,82T,73,54.5,0
Buccaneers,131,1714,13.1,3,0,0,67T,69,52.7,0
