Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,156,27.3,1040
Bills,0,0,0,0,118,24.4,1030
Bears,0,0,0,0,118,26.5,1039
Bengals,0,0,0,0,115,23.9,998
Browns,0,0,0,0,93,20.8,1033
Cowboys,0,0,0,0,116,21.4,1062
Broncos,0,0,0,0,90,21.1,977
Lions,0,0,0,0,98,21.6,1064
Packers,0,0,0,0,116,25.2,970
Oilers,0,0,0,0,119,27.2,941
Colts,0,0,0,0,126,24.8,1109
Chiefs,0,0,0,0,92,20.7,952
Rams,0,0,0,0,101,25,1023
Raiders,0,0,0,0,121,24,1045
Dolphins,0,0,0,0,138,28,1045
Vikings,0,0,0,0,100,21.6,1021
Patriots,0,0,0,0,110,22.2,976
Saints,0,0,0,0,79,21.2,997
Giants,0,0,0,0,91,21.6,946
Jets,0,0,0,0,127,24.6,1058
Eagles,0,0,0,0,81,19,1018
Cardinals,0,0,0,0,113,21,1098
Steelers,0,0,0,0,112,22.5,1077
Chargers,0,0,0,0,102,21.3,1039
49ers,0,0,0,0,76,20.4,981
Seahawks,0,0,0,0,119,22.9,997
Buccaneers,0,0,0,0,115,24,1028
Redskins,0,0,0,0,72,18.8,953
