Team,INT,INT TD,INT Yds,Lng
Steelers,37,3,673,86
Redskins,26,4,598,68
Falcons,22,2,528,81T
Lions,22,1,522,95T
Chiefs,21,1,328,36
Dolphins,21,2,335,38T
Vikings,21,2,263,63
Rams,20,1,300,49T
Giants,20,0,214,36
Jets,19,2,288,41
Bengals,18,0,166,30
Cowboys,18,2,300,44T
Oilers,17,0,298,87
Raiders,17,0,162,36
49ers,17,0,134,30
Saints,16,0,126,23
Chargers,16,1,205,80T
Packers,15,3,220,58
Colts,15,1,116,24T
Eagles,15,1,120,45T
Bills,14,1,224,38
Bears,14,0,176,41
Broncos,14,2,220,59
Patriots,13,0,105,56
Browns,12,1,202,48T
Cardinals,10,0,71,26
