Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Eagles,370,219,59.2,7.1,2639,22,15,135,36.5,21
49ers,383,194,50.6,6.2,2366,19,17,115,30,32
Giants,275,161,58.6,7.2,1985,17,20,94,34.2,35
Oilers,326,178,54.6,6.9,2237,26,17,114,35,27
Cardinals,417,252,60.4,7.3,3029,23,10,157,37.6,29
Patriots,240,134,55.8,5.6,1338,11,13,67,27.9,32
Broncos,387,202,52.2,6.3,2440,15,14,121,31.3,36
Jets,296,150,50.7,6.6,1950,18,19,101,34.1,26
Redskins,406,203,50,5.4,2176,12,26,119,29.3,53
Chargers,341,177,51.9,6.6,2254,18,16,124,36.4,26
Raiders,370,170,46,4.6,1690,12,17,92,24.9,40
Saints,337,176,52.2,6.5,2178,15,16,119,35.3,24
Bengals,338,182,53.8,5.6,1898,9,18,97,28.7,43
Lions,332,173,52.1,5.4,1788,15,22,98,29.5,33
Cowboys,352,187,53.1,5.7,1995,15,18,106,30.1,40
Falcons,324,151,46.6,4.4,1430,11,22,92,28.4,29
Chiefs,324,157,48.5,5,1619,11,21,95,29.3,38
Steelers,359,164,45.7,4.7,1672,11,37,91,25.4,33
Browns,312,144,46.2,5.6,1736,16,12,79,25.3,29
Bears,303,156,51.5,5.5,1674,17,14,90,29.7,32
Colts,331,199,60.1,7.2,2399,16,15,123,37.2,25
Vikings,377,198,52.5,5,1894,8,21,99,26.3,30
Rams,328,179,54.6,5.1,1681,10,20,87,26.5,45
Dolphins,322,151,46.9,4,1290,5,21,78,24.2,45
Packers,327,180,55,5.6,1822,14,15,101,30.9,25
Bills,368,166,45.1,5.8,2118,12,14,112,30.4,32
