Team,FF,FR,FR TD
Falcons,0,15,0
Bills,0,19,0
Bears,0,19,1
Bengals,0,16,1
Browns,0,9,1
Cowboys,0,23,0
Broncos,0,15,1
Lions,0,11,0
Packers,0,18,0
Oilers,0,10,0
Colts,0,22,0
Chiefs,0,18,1
Rams,0,18,0
Raiders,0,16,1
Dolphins,0,8,1
Vikings,0,15,1
Patriots,0,18,0
Saints,0,14,0
Giants,0,12,0
Jets,0,19,1
Eagles,0,15,1
Cardinals,0,17,0
Steelers,0,18,1
Chargers,0,18,1
49ers,0,15,1
Redskins,0,18,2
