Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Eagles,32,37,86.5,1_1,11_11,9_8,13_11,0_0,0_0,52,1
Chargers,32,35,91.4,2_2,17_17,4_4,8_6,0_0,0_0,55,0
Broncos,30,35,85.7,0_0,14_14,8_6,10_8,0_0,0_0,51,0
Jets,30,36,83.3,0_0,6_6,15_12,14_11,0_0,0_0,55,1
Bills,28,33,84.8,0_0,12_12,9_9,9_6,0_0,0_0,56,0
Packers,27,36,75,1_1,13_13,9_7,7_4,0_0,0_0,52,0
Titans,27,32,84.4,0_0,8_8,6_4,12_10,0_0,0_0,53,1
Giants,27,32,84.4,0_0,12_10,13_11,6_5,0_0,0_0,52,0
Steelers,27,31,87.1,1_1,7_7,16_15,5_4,0_0,0_0,46,0
Raiders,26,29,89.7,0_0,3_3,8_8,10_9,0_0,0_0,61,0
Vikings,26,28,92.9,1_1,10_10,6_5,9_8,0_0,0_0,52,1
Patriots,26,31,83.9,0_0,7_7,13_12,8_5,0_0,0_0,53,0
Chiefs,25,29,86.2,0_0,10_10,7_7,7_6,0_0,0_0,53,1
Dolphins,25,28,89.3,0_0,9_9,8_7,9_8,0_0,0_0,52,0
Bears,24,28,85.7,0_0,9_9,6_6,10_7,0_0,0_0,52,2
Seahawks,24,26,92.3,0_0,9_9,11_10,6_5,0_0,0_0,47,0
Bengals,23,28,82.1,0_0,11_10,10_8,3_3,0_0,0_0,53,2
Browns,23,25,92,1_1,11_11,6_6,6_5,0_0,0_0,49,0
Panthers,22,27,81.5,0_0,7_7,10_9,6_5,0_0,0_0,50,2
Saints,22,28,78.6,1_1,9_9,14_10,3_2,0_0,0_0,46,1
Redskins,22,25,88,0_0,11_10,6_5,7_7,0_0,0_0,48,0
Ravens,21,30,70,0_0,6_6,14_9,8_6,0_0,0_0,46,0
Lions,21,28,75,0_0,5_5,9_8,10_7,0_0,0_0,50,0
Texans,21,32,65.6,0_0,13_11,9_6,6_2,0_0,0_0,56,3
Cowboys,20,31,64.5,1_1,7_6,8_6,13_6,0_0,0_0,51,0
Falcons,19,29,65.5,0_0,6_6,12_8,7_3,0_0,0_0,51,2
Rams,19,24,79.2,0_0,5_5,5_4,7_4,0_0,0_0,55,1
Niners,19,24,79.2,0_0,5_4,10_9,6_4,0_0,0_0,51,1
Jaguars,18,28,64.3,0_0,8_7,4_4,7_3,0_0,0_0,52,1
Cardinals,18,19,94.7,1_1,4_4,6_6,8_7,0_0,0_0,48,0
Colts,16,20,80,1_1,5_5,8_6,4_4,0_0,0_0,48,0
Buccaneers,16,26,61.5,0_0,3_3,8_5,11_5,0_0,0_0,54,1
