Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Buccaneers,26.3,62,1630,1,47,2,97T,2,0
Ravens,26.2,59,1547,1,39,7,95T,0,2
Bears,25,80,1999,1,49,9,102,0,2
Saints,24.4,57,1393,1,38,5,97T,0,2
Jets,24.4,44,1074,1,28,4,106T,0,0
Falcons,24.3,55,1336,0,39,2,62,0,2
Browns,24.2,69,1670,3,40,6,103,1,1
Steelers,24,66,1581,0,44,4,83,2,1
Cardinals,23.8,54,1284,1,40,2,99T,0,0
Bills,23.7,64,1517,0,38,3,71,1,3
Rams,23.2,76,1764,0,53,5,58,0,1
Dolphins,23.2,75,1739,2,45,4,101T,1,1
Vikings,23.2,56,1297,2,30,5,101,1,1
Chargers,22.9,63,1442,0,38,5,66,0,0
Patriots,22.7,54,1226,0,39,1,52,0,0
Texans,22.6,64,1449,1,42,2,95,0,0
Jaguars,22.6,66,1492,0,44,5,43T,0,1
Colts,22.2,55,1219,1,30,1,93T,0,0
Packers,22.1,54,1193,0,34,2,54,2,2
Cowboys,22,47,1032,0,28,2,41,0,2
Seahawks,21.9,60,1316,0,37,4,46T,0,2
Bengals,21.9,62,1356,1,30,2,96T,1,2
Niners,21.8,52,1135,0,32,4,76T,1,2
Redskins,21.7,65,1413,0,44,1,42,0,0
Chiefs,21.6,77,1666,1,45,5,97T,0,3
Broncos,21.4,57,1217,1,33,2,93T,0,2
Lions,21.4,96,2050,0,52,4,87T,0,2
Giants,20.9,71,1482,0,38,2,68T,0,3
Titans,20.5,69,1417,0,37,1,56,0,1
Eagles,20.5,58,1191,0,29,2,63,0,4
Panthers,19.9,51,1015,0,26,1,55,0,0
Raiders,18.2,66,1199,0,25,2,60,0,1
