Team,Rsh TD,Rec TD,Tot TD,2-PT
Saints,26,33,60,4
Rams,23,32,59,5
Ravens,19,18,38,1
Broncos,18,19,39,0
Patriots,18,29,50,0
Panthers,17,28,45,2
Bears,16,28,49,4
Chiefs,16,50,70,1
Steelers,16,35,53,4
Chargers,16,32,50,6
Bills,15,13,29,1
Browns,15,29,44,4
Titans,15,16,34,0
Seahawks,15,35,51,1
Packers,14,25,41,3
Bengals,13,27,43,1
Cowboys,13,22,35,2
Colts,13,39,52,4
Giants,13,23,39,4
Texans,12,26,41,0
Eagles,12,29,41,5
Redskins,12,16,28,2
Falcons,11,36,48,2
Lions,11,22,35,0
Jets,11,18,34,0
Buccaneers,11,36,48,1
Raiders,9,19,30,1
Vikings,9,30,40,3
Cardinals,9,15,25,2
Jaguars,7,15,25,0
Dolphins,7,26,38,1
49ers,7,26,35,2
