Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Packers,382,4550,11.9,36,58,13,79,228,59.7,5
Vikings,380,4754,12.5,39,64,18,82,225,59.2,3
Rams,372,4615,12.4,23,67,8,75,202,54.3,14
Chiefs,370,4633,12.5,27,60,10,70,228,61.6,2
Titans,356,3933,11,27,46,5,48,200,56.2,5
Colts,353,4732,13.4,51,69,14,80,238,67.4,4
Buccaneers,340,3773,11.1,24,50,10,75,175,51.5,6
Eagles,336,4208,12.5,32,56,20,80T,188,56,4
Raiders,330,4019,12.2,24,55,11,63,176,53.3,5
49ers,325,3455,10.6,16,28,3,65,172,52.9,2
Bengals,324,3520,10.9,23,42,8,76,172,53.1,2
Panthers,311,3889,12.5,29,59,8,63,192,61.7,3
Dolphins,309,3391,11,19,38,5,76,165,53.4,5
Saints,309,3810,12.3,21,57,5,57,177,57.3,3
Cowboys,308,3636,11.8,19,48,4,53,171,55.5,5
Jaguars,305,3315,10.9,17,35,7,65,161,52.8,7
Seahawks,304,3715,12.2,23,47,4,60T,189,62.2,4
Broncos,303,4089,13.5,27,55,9,85,184,60.7,4
Cardinals,299,3202,10.7,14,38,4,48,152,50.8,4
Patriots,293,3750,12.8,29,53,10,50,193,65.9,4
Chargers,288,3506,12.2,29,45,9,79,160,55.6,5
Redskins,288,2874,10,18,27,5,51T,156,54.2,1
Texans,286,3547,12.4,16,47,6,69,174,60.8,4
Lions,285,3124,11,19,44,3,50,142,49.8,2
Jets,282,3231,11.5,19,38,9,69,163,57.8,3
Giants,269,3097,11.5,12,35,10,62,143,53.2,5
Bills,262,3032,11.6,21,33,9,69,149,56.9,4
Ravens,258,2559,9.9,13,28,4,57,135,52.3,4
Browns,251,3076,12.2,21,36,14,99,125,49.8,2
Bears,249,2641,10.6,9,33,5,63,121,48.6,3
Steelers,228,2970,13,20,47,7,58,147,64.5,5
Falcons,217,2692,12.4,15,39,9,62,120,55.3,2
