Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,162,62.3,82,20,940
Bills,0,0,0,0,208,62.6,128,25.4,1056
Bears,0,0,0,0,168,58.7,120,23.9,1025
Bengals,0,0,0,0,162,55.9,96,21.4,993
Browns,0,0,0,0,164,52.6,82,21.1,934
Cowboys,0,0,0,0,191,62.6,89,20.6,970
Broncos,0,0,0,0,150,61,117,23.1,1012
Lions,0,0,0,0,148,58.7,116,25.6,938
Packers,0,0,0,0,150,55.2,88,23.1,940
Oilers,0,0,0,0,236,57.4,99,29.9,1023
Colts,0,0,0,0,163,53.4,55,15.5,923
Chiefs,0,0,0,0,172,60.6,127,24.4,1021
Rams,0,0,0,0,180,62.3,75,19.3,935
Raiders,0,0,0,0,132,60,96,21.5,893
Dolphins,0,0,0,0,205,62.7,91,24,970
Vikings,0,0,0,0,158,55.6,125,26.9,970
Patriots,0,0,0,0,155,54.6,93,21.5,977
Saints,0,0,0,0,157,53.8,93,19.2,1008
Giants,0,0,0,0,148,56.7,120,24.6,953
Jets,0,0,0,0,169,57.3,133,25.4,1059
Eagles,0,0,0,0,142,49.8,86,19.3,1004
Cardinals,0,0,0,0,143,56.3,73,18.7,926
Steelers,0,0,0,0,158,61,82,20.8,915
Chargers,0,0,0,0,155,57,114,24.6,1010
49ers,0,0,0,0,197,60.6,112,25.4,986
Seahawks,0,0,0,0,159,54.8,80,20.3,922
Buccaneers,0,0,0,0,147,58.8,79,21.3,922
Redskins,0,0,0,0,179,68.6,107,19.8,998
