Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Commanders,598,396,66.2,7.7,4627,39,8,218,36.4,39
Chiefs,556,340,61.2,6,3352,19,8,169,30.4,57
Chargers,598,389,65,7.7,4580,26,9,203,34,48
Vikings,606,426,70.3,7.1,4288,23,11,208,34.3,43
Browns,535,307,57.4,5.9,3149,23,18,136,25.4,49
Jaguars,617,404,65.5,7.1,4355,27,16,198,32.1,40
Bengals,555,364,65.6,8.1,4480,23,17,201,36.2,44
Cowboys,509,308,60.5,6.8,3481,21,17,166,32.6,45
Lions,588,371,63.1,7.8,4562,28,16,209,35.5,41
Saints,558,333,59.7,6.8,3768,22,18,167,29.9,34
Jets,522,313,60,6.1,3182,19,17,150,28.7,48
Texans,565,382,67.6,7.7,4334,17,14,185,32.7,46
Panthers,481,309,64.2,6.5,3109,19,8,162,33.7,27
Rams,604,367,60.8,7,4195,24,10,193,32,41
Packers,523,342,65.4,7.3,3803,21,7,189,36.1,45
Bills,552,363,65.8,6.7,3676,18,18,183,33.2,54
Seahawks,585,390,66.7,7.3,4259,21,11,202,34.5,47
Colts,568,370,65.1,7.3,4157,21,15,192,33.8,51
Buccaneers,611,404,66.1,7.5,4568,23,13,213,34.9,48
Dolphins,568,380,66.9,7.3,4132,27,15,186,32.8,56
Eagles,652,425,65.2,7,4551,35,9,222,34,43
Raiders,564,376,66.7,6.9,3900,21,13,187,33.2,46
Patriots,575,370,64.4,6.6,3791,19,10,181,31.5,36
Cardinals,506,347,68.6,7.6,3846,32,11,198,39.1,33
Falcons,549,340,61.9,6.8,3707,24,8,183,33.3,42
Giants,582,371,63.8,7.1,4157,21,18,191,32.8,34
Bears,617,410,66.4,6.9,4245,31,22,196,31.8,30
Broncos,572,382,66.8,7.5,4302,29,11,201,35.1,42
Steelers,573,348,60.7,7.3,4164,23,16,186,32.5,47
Ravens,634,384,60.6,5.9,3717,18,18,175,27.6,60
Titans,571,387,67.8,7.3,4181,20,6,189,33.1,45
49ers,621,410,66,6.4,3949,20,22,190,30.6,48
