Team,FF,FR,FR TD
Vikings,22,11,2
Falcons,19,8,0
Broncos,19,15,1
Giants,19,13,0
Steelers,19,11,1
Buccaneers,18,12,0
Colts,17,9,1
Ravens,16,13,0
Eagles,16,8,1
Texans,15,10,1
Chiefs,15,9,2
Dolphins,15,12,0
Patriots,15,8,1
Chargers,15,12,0
Bills,14,11,0
Browns,14,10,1
Raiders,14,9,2
Jets,14,10,1
Bears,13,6,0
Cowboys,13,7,0
Lions,13,6,0
Titans,13,8,0
Seahawks,13,8,0
Jaguars,12,11,0
Bengals,11,9,0
Packers,10,11,1
49ers,10,6,0
Commanders,10,10,0
Saints,8,11,1
Rams,7,5,0
Cardinals,6,6,1
Panthers,5,3,0
