Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Ravens,415,1860,4.5,6,96,23.1
Bears,388,1468,3.8,8,88,22.7
Falcons,499,2009,4,11,105,21
Browns,420,1793,4.3,15,87,20.7
Bills,409,1880,4.6,14,96,23.5
Eagles,410,1758,4.3,13,111,27.1
Lions,408,1509,3.7,15,91,22.3
49ers,369,1525,4.1,10,97,26.3
Steelers,454,1956,4.3,9,95,20.9
Saints,462,2038,4.4,10,100,21.6
Colts,518,2105,4.1,22,123,23.8
Rams,433,1816,4.2,14,108,24.9
Cardinals,521,2434,4.7,19,141,27.1
Cowboys,459,1910,4.2,14,108,23.5
Dolphins,433,1650,3.8,15,109,25.2
Giants,475,2251,4.7,24,134,28.2
Jaguars,421,1752,4.2,15,99,23.5
Broncos,469,2331,5,15,119,25.4
Panthers,508,2081,4.1,25,122,24
Titans,480,1831,3.8,10,103,21.5
Texans,468,1643,3.5,19,110,23.5
Packers,493,2181,4.4,15,120,24.3
Buccaneers,422,1620,3.8,11,101,23.9
Chargers,467,1924,4.1,18,110,23.6
Chiefs,432,1925,4.5,10,107,24.8
Patriots,480,1584,3.3,14,100,20.8
Raiders,479,2015,4.2,15,117,24.4
Vikings,446,1678,3.8,14,104,23.3
Jets,517,2108,4.1,14,111,21.5
Bengals,456,2145,4.7,17,127,27.8
Seahawks,515,2352,4.6,24,143,27.8
Commanders,480,2155,4.5,15,121,25.2
