Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Browns,230,67,15,6,87,20.7,1004
Panthers,221,84,10,7,122,24,1016
Giants,216,80,19,10,134,28.2,1091
Bears,222,98,23,10,88,22.7,1035
Chargers,232,89,32,19,110,23.6,1113
Buccaneers,225,92,25,12,101,23.9,1081
Saints,226,78,26,11,100,21.6,1054
Jets,242,90,16,7,111,21.5,1087
Texans,227,81,29,16,110,23.5,1079
Colts,240,89,26,17,123,23.8,1137
Steelers,233,91,18,8,95,20.9,1074
Cowboys,211,79,37,19,108,23.5,1013
Jaguars,230,84,41,21,99,23.5,1078
Rams,228,88,30,16,108,24.9,1078
Falcons,228,77,23,11,105,21,1090
Eagles,233,108,34,19,111,27.1,1105
Cardinals,205,97,15,7,141,27.1,1060
Lions,202,75,26,15,91,22.3,1037
Packers,224,92,30,14,120,24.3,1061
Vikings,232,96,25,18,104,23.3,1095
Patriots,237,86,19,10,100,20.8,1091
Broncos,202,67,34,16,119,25.4,1083
Chiefs,224,83,28,13,107,24.8,1045
Bills,215,83,19,10,96,23.5,1015
Bengals,213,87,15,7,127,27.8,1055
Raiders,227,94,26,14,117,24.4,1089
Commanders,226,94,21,13,121,25.2,1117
Titans,231,89,21,12,103,21.5,1096
Ravens,250,91,32,13,96,23.1,1109
Seahawks,231,107,26,13,143,27.8,1147
Dolphins,216,84,30,14,109,25.2,1057
49ers,215,88,28,14,97,26.3,1038
