Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Morten Andersen,28,36,77.8,3/3,6/6,9/9,8/12,0/0,0/0,52,0
Dean Biasucci,24,27,88.9,0/0,5/6,12/12,6/7,0/0,0/0,50,0
Jim Breech,24,30,80,0/0,6/7,12/12,6/11,0/0,0/0,46,3
Gary Anderson,22,27,81.5,0/0,8/9,4/4,8/12,0/0,0/0,52,1
Roger Ruzek,22,25,88,0/0,8/8,6/7,8/10,0/0,0/0,49,1
Eddie Murray,20,32,62.5,1/1,6/6,7/12,5/11,0/0,0/0,53,1
Tony Zendejas,20,26,76.9,2/2,5/5,4/6,8/12,0/0,0/0,52,2
Chris Bahr,19,29,65.5,0/0,6/6,10/13,3/10,0/0,0/0,48,2
Kevin Butler,19,28,67.9,0/0,11/11,5/5,1/6,0/0,0/0,52,1
Nick Lowery,19,23,82.6,1/1,4/4,8/10,4/6,0/0,0/0,54,1
Rich Karlis,18,25,72,0/0,9/9,4/6,4/7,0/0,0/0,51,0
Pat Leahy,18,22,81.8,0/0,11/11,5/6,2/4,0/0,0/0,42,0
Raul Allegre,17,27,63,1/1,7/8,4/5,3/9,0/0,0/0,53,1
Mike Lansford,17,21,81,1/1,6/6,3/4,7/9,0/0,0/0,48,1
Paul McFadden,16,26,61.5,1/1,3/4,6/10,6/9,0/0,0/0,49,0
Max Zendejas,16,19,84.2,0/0,3/3,6/7,7/8,0/0,0/0,48,2
Tony Franklin,15,26,57.7,0/0,5/5,6/11,3/7,0/0,0/0,50,0
Norm Johnson,15,20,75,0/0,7/7,4/7,4/5,0/0,0/0,49,0
Donald Igwebuike,14,18,77.8,0/0,2/2,6/6,6/9,0/0,0/0,48,2
Jeff Jaeger,14,22,63.6,0/0,6/6,3/6,5/9,0/0,0/0,48,1
Vince Abbott,13,22,59.1,0/0,2/3,9/10,2/6,0/0,0/0,47,0
Ali Haji-Sheikh,13,19,68.4,0/0,5/5,6/10,2/4,0/0,0/0,41,1
Chuck Nelson,13,24,54.2,0/0,10/12,2/4,0/6,0/0,0/0,51,1
Ray Wersching,13,17,76.5,0/0,5/5,5/5,3/7,0/0,0/0,45,1
Scott Norwood,10,15,66.7,0/0,3/4,4/6,3/5,0/0,0/0,45,1
Al Del Greco,9,15,60,0/0,3/5,4/6,2/4,0/0,0/0,47,1
Jim Gallery,9,19,47.4,0/0,4/5,2/7,3/7,0/0,0/0,48,2
Mick Luckhurst,9,13,69.2,1/1,1/1,2/2,3/5,0/0,0/0,50,1
Fuad Reveiz,9,11,81.8,1/1,2/2,2/2,4/6,0/0,0/0,48,0
John Diettrich,6,6,100,0/0,2/2,1/1,3/3,0/0,0/0,45,0
Mike Prindle,6,7,85.7,0/0,3/3,3/3,0/1,0/0,0/0,35,0
Van Tiffin,5,7,71.4,0/0,1/1,1/2,2/3,0/0,0/0,50,0
Matt Bahr,4,5,80,0/0,2/2,2/3,0/0,0/0,0/0,31,0
Florian Kempf,4,5,80,0/0,1/1,1/2,2/2,0/0,0/0,48,1
Obed Ariri,3,5,60,1/1,1/1,1/1,0/2,0/0,0/0,39,0
Willie Beecher,3,4,75,1/1,0/0,1/1,1/2,0/0,0/0,40,0
George Benyola,3,5,60,0/0,2/2,0/1,1/2,0/0,0/0,45,0
Jeff Brockhaus,3,6,50,0/0,2/3,1/2,0/1,0/0,0/0,39,0
Mike Clendenen,3,4,75,0/0,1/1,2/2,0/1,0/0,0/0,35,1
Greg Davis,3,4,75,0/0,1/1,1/1,1/2,0/0,0/0,42,0
Brian Franco,3,4,75,0/0,3/3,0/1,0/0,0/0,0/0,28,0
Jeff Gaffney,3,6,50,0/0,3/3,0/3,0/0,0/0,0/0,27,1
Dave Jacobs,3,5,60,0/0,1/1,0/1,2/3,0/0,0/0,44,0
Steve Jordan,3,5,60,0/0,1/1,2/2,0/2,0/0,0/0,36,0
Tim Lashar,3,4,75,0/0,3/3,0/0,0/1,0/0,0/0,27,0
Luis Zendejas,3,4,75,0/0,0/0,1/1,1/2,0/0,0/0,50,0
Scott Hagler,2,2,100,0/0,2/2,0/0,0/0,0/0,0/0,24,0
James Hamrick,2,2,100,0/0,1/1,0/0,1/1,0/0,0/0,40,0
Pat Ragusa,2,4,50,0/0,1/1,1/2,0/1,0/0,0/0,34,0
Todd Schlopy,2,5,40,0/0,1/1,1/3,0/1,0/0,0/0,31,0
Jess Atkinson,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,27,0
Mike Cofer,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,27,0
Steve Cox,1,2,50,0/0,0/0,0/0,1/1,0/0,0/0,40,0
Dale Dawson,1,5,20,0/0,0/0,1/2,0/3,0/0,0/0,34,0
Massimo Manca,1,2,50,0/0,1/1,0/0,0/1,0/0,0/0,28,1
Eric Schubert,1,2,50,0/0,1/1,0/0,0/1,0/0,0/0,23,0
Jason Staurovsky,1,3,33.3,0/0,1/2,0/0,0/1,0/0,0/0,24,0
Kerry Brady,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
David Hardy,0,1,0,0/0,0/0,0/1,0/0,0/0,0/0,0,0
Brendan Toibin,0,2,0,0/0,0/0,0/1,0/1,0/0,0/0,0,0
David Trout,0,2,0,0/0,0/1,0/1,0/0,0/0,0/0,0,0
