Player,FF,FR,FR TD
Chris Doleman,5,0,0
Cliff Odom,5,3,0
Fredd Young,5,4,0
Cornelius Bennett,4,0,0
Richard Dent,4,2,0
Duane Bickett,3,2,0
Jacob Green,3,1,0
Carl Hairston,3,1,0
Bill Maas,3,1,1
Stafford Mays,3,2,0
Steve Rehage,3,0,0
Bruce Smith,3,2,1
Pat Swilling,3,3,0
Steve Tasker,3,0,0
Reggie White,3,1,1
Jim Althoff,2,1,0
Carl Banks,2,0,0
Chip Banks,2,2,0
Keith Bostic,2,1,0
Domingo Bryant,2,1,0
John Cannon,2,1,0
Michael Carter,2,0,0
Ray Childress,2,1,0
Joe Cofer,2,0,0
Mike Cofer,2,1,0
Robin Cole,2,1,0
Johnie Cooks,2,1,0
Nolan Cromwell,2,0,0
Reggie Doss,2,0,0
Jeff Fuller,2,3,0
Nesby Glasgow,2,1,0
Vencie Glenn,2,1,0
Alex Gordon,2,0,0
James Griffin,2,0,0
Tim Harris,2,0,0
Roland James,2,0,0
Gregg Johnson,2,2,0
Pepper Johnson,2,1,0
Sean Jones,2,2,0
William Judson,2,0,0
Bobby Kemp,2,0,0
Tony Lilly,2,1,0
Wilber Marshall,2,1,0
Johnny Meads,2,0,0
Greg Meisner,2,0,0
Mike Merriweather,2,3,0
Les Miller,2,2,1
Steve Nelson,2,1,0
Mike Prior,2,3,0
Johnny Rembert,2,0,0
Rod Saddler,2,0,0
Leon Seals,2,0,0
Mike Singletary,2,1,0
Jesse Solomon,2,1,0
Lawrence Taylor,2,0,0
Willie Tullis,2,0,0
Jimmy Williams,2,2,0
Lee Williams,2,0,0
Bryant Winn,2,1,0
Lonnie Young,2,3,0
Egypt Allen,1,2,0
Harvey Allen,1,0,0
John Armstrong,1,0,0
Martin Bayless,1,0,0
Bobby Bell,1,1,0
Todd Bell,1,1,0
Charles Benson,1,1,0
Albert Bentley,1,0,0
Ray Bentley,1,0,0
Lewis Billups,1,1,0
Dwaine Board,1,1,0
