Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Dolphins,491,298,60.7,6.7,3275,19,16,173,35.2,24
Redskins,497,261,52.5,6.9,3439,24,14,153,30.8,43
Packers,474,256,54,5.8,2733,12,20,136,28.7,30
Broncos,467,262,56.1,6.3,2933,18,16,161,34.5,36
Eagles,578,309,53.5,7.2,4147,23,32,200,34.6,42
Cardinals,508,264,52,6.4,3244,30,16,170,33.5,39
Cowboys,523,264,50.5,6.8,3556,30,10,180,34.4,46
Jets,476,244,51.3,7.4,3509,28,24,162,34,45
Browns,474,245,51.7,6,2847,13,20,162,34.2,37
Chiefs,410,214,52.2,5.9,2434,12,18,136,33.2,23
Giants,566,294,51.9,5.9,3327,23,15,177,31.3,52
Rams,571,307,53.8,5.8,3300,17,22,166,29.1,56
Vikings,480,219,45.6,5.2,2489,12,36,132,27.5,37
Buccaneers,527,304,57.7,6.8,3604,19,21,169,32.1,20
49ers,530,292,55.1,5.6,2987,25,22,161,30.4,42
Saints,505,277,54.8,6.6,3327,19,17,167,33.1,31
Raiders,483,265,54.9,6.6,3171,23,17,165,34.2,40
Steelers,532,309,58.1,7.4,3941,25,20,182,34.2,19
Falcons,504,281,55.8,6.7,3373,17,24,167,33.1,30
Lions,513,337,65.7,6.4,3279,17,15,179,34.9,47
Chargers,517,274,53,6.4,3285,22,16,173,33.5,34
Bears,545,245,45,5.6,3034,18,26,158,29,43
Bills,448,250,55.8,6.1,2724,14,15,146,32.6,46
Seahawks,501,280,55.9,6.7,3353,21,22,171,34.1,30
Oilers,512,281,54.9,6.4,3266,22,22,170,33.2,42
Colts,539,321,59.6,6.7,3602,21,15,184,34.1,30
Bengals,524,283,54,6,3134,19,22,177,33.8,42
Patriots,436,234,53.7,5.9,2582,13,20,138,31.6,29
