Team,FF,FR,FR TD
Lions,22,21,1
Oilers,22,20,0
Giants,22,18,1
Jets,20,16,0
Dolphins,19,15,1
Falcons,18,14,2
Vikings,18,17,2
49ers,18,16,0
Buccaneers,17,12,0
Chiefs,16,13,0
Patriots,16,15,0
Bills,15,17,1
Colts,15,21,0
Rams,14,15,0
Saints,14,15,0
Steelers,14,13,0
Seahawks,14,18,1
Bengals,13,14,2
Cardinals,13,13,3
Packers,12,21,0
Eagles,12,12,0
Chargers,12,10,1
Browns,11,11,1
Redskins,11,8,0
Raiders,10,17,1
Broncos,9,13,0
Bears,7,9,0
Cowboys,7,10,0
