Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Browns,216,67,24,13,137,46.4,103,23.6,1001
Panthers,211,76,38,17,129,43.4,93,24.7,930
Giants,204,60,29,14,113,41.8,75,19.8,865
Bears,196,81,23,11,141,51.3,110,25.4,912
Saints,196,75,15,8,157,47.3,92,23.4,927
Cowboys,194,94,20,10,185,53.2,96,24.4,930
Colts,194,70,27,14,151,49.2,90,23.2,911
Texans,193,75,17,7,180,59.6,69,18.6,898
Chargers,193,78,27,12,172,51.5,69,19.7,898
Buccaneers,193,80,15,10,155,52.4,66,18.4,860
Rams,191,80,15,9,163,55.1,92,23.8,904
Vikings,191,77,23,15,180,50.8,71,20.6,898
Lions,190,82,33,15,185,55.2,103,25.1,937
Steelers,190,66,16,7,127,47,84,22.6,838
Jaguars,189,69,22,11,161,47.6,83,21.7,925
Falcons,188,77,16,7,151,56.8,102,23,909
Jets,188,48,24,15,131,45.3,51,17.6,837
Eagles,188,91,22,16,161,52.6,123,28.7,926
Cardinals,186,71,29,11,136,47.9,95,25.5,867
Packers,185,81,23,12,168,55.1,72,21.1,856
Patriots,185,59,22,9,131,44,82,23.5,853
Commanders,185,69,23,12,168,47.5,84,27.4,910
Bills,179,88,13,8,166,51.1,132,32.3,918
Broncos,178,66,14,9,125,46,94,25.1,825
Bengals,177,65,15,8,174,49.4,70,23,855
Titans,177,58,14,8,131,52.4,82,22.4,830
Ravens,176,75,11,5,142,52.4,128,28,901
Chiefs,176,82,13,5,189,52.9,91,26.6,894
Raiders,176,62,21,12,148,51.2,61,18.6,818
Seahawks,173,59,16,6,154,50.2,77,23.9,834
Dolphins,164,69,20,9,185,56.1,98,25.4,875
49ers,146,70,8,5,169,62.1,121,29.3,830
