Team,Rsh TD,Rec TD,Tot TD,2-PT
Dolphins,26,26,56,0
Ravens,23,18,43,2
49ers,23,29,53,0
Lions,21,26,48,3
Eagles,20,19,41,1
Bills,18,26,45,3
Colts,16,17,38,3
Jaguars,15,18,35,3
Cardinals,15,12,28,3
Cowboys,13,28,48,4
Titans,13,11,25,1
Rams,13,21,34,3
Falcons,12,13,26,2
Browns,12,16,30,4
Bears,11,17,30,1
Saints,11,19,33,3
Commanders,11,21,33,3
Bengals,10,22,34,0
Raiders,10,16,29,1
Steelers,10,10,22,1
Chargers,10,24,35,1
Seahawks,10,18,31,1
Texans,9,22,32,1
Chiefs,8,26,35,0
Packers,7,25,34,2
Patriots,7,14,21,0
Buccaneers,7,24,32,2
Broncos,6,24,32,2
Vikings,6,25,33,1
Giants,6,12,20,0
Panthers,5,11,19,2
Jets,4,9,16,2
