Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Chiefs,357,3738,10.5,26,43,5,54,189,52.9,7
Vikings,354,3713,10.5,25,52,5,62,180,50.8,4
Commanders,354,3692,10.4,21,43,4,51,168,47.5,5
Bengals,352,3549,10.1,22,38,9,76,174,49.4,3
Cowboys,348,3753,10.8,28,53,4,60,185,53.2,5
Jaguars,338,3614,10.7,18,45,8,65,161,47.6,7
Lions,335,3727,11.1,26,59,6,48,185,55.2,3
Chargers,334,3619,10.8,24,48,7,79,172,51.5,8
Saints,332,3434,10.3,19,40,10,58T,157,47.3,0
Dolphins,330,3995,12.1,26,51,11,78,185,56.1,4
Bills,325,3541,10.9,26,40,6,81,166,51.1,6
Colts,307,3316,10.8,17,40,9,75,151,49.2,2
Seahawks,307,3461,11.3,18,45,6,73,154,50.2,0
Eagles,306,3379,11,19,44,7,63,161,52.6,3
Packers,305,3382,11.1,25,44,6,77,168,55.1,4
Texans,302,3890,12.9,22,64,9,75,180,59.6,2
Patriots,298,2839,9.5,14,26,2,58,131,44,4
Panthers,297,2727,9.2,11,26,4,48T,129,43.4,5
Rams,296,3492,11.8,21,56,6,70,163,55.1,2
Buccaneers,296,3315,11.2,24,51,10,75,155,52.4,5
Browns,295,3162,10.7,16,38,11,59,137,46.4,4
Raiders,289,3061,10.6,16,29,4,50T,148,51.2,3
Jets,289,2825,9.8,9,31,3,68,131,45.3,2
Cardinals,284,2706,9.5,12,27,3,69T,136,47.9,2
Bears,275,2835,10.3,17,36,4,58T,141,51.3,4
Broncos,272,2832,10.4,24,34,9,60,125,46,6
49ers,272,3822,14,29,65,13,76,169,62.1,3
Ravens,271,3143,11.6,18,42,8,80,142,52.4,6
Giants,270,2533,9.4,12,35,4,58,113,41.8,3
Steelers,270,2705,10,10,32,4,72,127,47,2
Falcons,266,3048,11.5,13,39,7,60T,151,56.8,2
Titans,250,2996,12,11,50,10,70,131,52.4,2
