Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens,458,2293,5,23,18,3,60,128,28,4
Falcons,443,1770,4,12,6,0,38,102,23,10
Browns,436,1732,4,12,8,3,69,103,23.6,7
Bears,433,1882,4.4,11,9,0,34T,110,25.4,5
Eagles,428,1796,4.2,20,9,1,43,123,28.7,8
49ers,413,1959,4.7,23,10,3,72,121,29.3,4
Lions,410,1973,4.8,21,14,3,75,103,25.1,6
Bills,409,1852,4.5,18,9,1,42,132,32.3,6
Saints,394,1445,3.7,11,3,0,29,92,23.4,5
Cowboys,393,1631,4.2,13,10,1,46T,96,24.4,3
Colts,388,1606,4.1,16,10,3,56,90,23.2,3
Rams,386,1698,4.4,13,10,1,56T,92,23.8,2
Dolphins,385,1955,5.1,26,15,7,76T,98,25.4,12
Jaguars,382,1372,3.6,15,8,0,35T,83,21.7,4
Giants,378,1554,4.1,6,10,0,36,75,19.8,6
Panthers,376,1485,4,5,7,1,48,93,24.7,4
Broncos,375,1578,4.2,6,9,0,38,94,25.1,4
Cardinals,373,1845,5,15,17,5,49,95,25.5,7
Texans,372,1404,3.8,9,3,0,22,69,18.6,4
Steelers,372,1540,4.1,10,11,1,74T,84,22.6,7
Titans,366,1456,4,13,7,1,63,82,22.4,5
Buccaneers,359,1269,3.5,7,4,0,38T,66,18.4,3
Chargers,350,1340,3.8,10,8,3,55T,69,19.7,3
Patriots,349,1377,4,7,3,1,64,82,23.5,3
Vikings,344,1380,4,6,5,0,31,71,20.6,9
Chiefs,342,1444,4.2,8,7,1,48T,91,26.6,1
Packers,341,1442,4.2,7,11,1,40T,72,21.1,5
Raiders,328,1172,3.6,10,5,2,63,61,18.6,5
Seahawks,322,1296,4,10,10,1,45T,77,23.9,1
Commanders,306,1378,4.5,11,8,0,29,84,27.4,5
Bengals,305,1181,3.9,10,5,0,31,70,23,1
Jets,289,1191,4.1,4,6,3,83,51,17.6,10
