Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Henry Jones,37,1,37,1,1,0,37,0,0
Troy Brown,33.9,8,271,0,7,3,54,0,0
Willie Jackson,29.8,6,179,0,5,1,46,0,1
Tony Horne,29.7,30,892,2,20,6,101,1,0
Jason Tucker,27.9,22,613,0,16,3,79,0,1
Kevin Williams,27.7,6,166,0,2,1,81,0,1
Tremain Mack,27.1,51,1382,1,41,6,99,0,3
Peerless Price,27,1,27,0,1,0,27,0,0
Nate Jacquet,26,1,26,0,1,0,26,0,0
Charlie Rogers,25.8,18,465,0,11,3,49,0,0
Ron Carpenter,25.4,16,406,0,10,1,43,0,0
James Thrash,25.4,14,355,1,6,2,95,0,0
Robert Tate,25.1,25,627,1,15,3,76,0,1
Kevin Johnson,25,1,25,0,1,0,25,0,0
Mike Logan,25,1,25,0,1,0,25,0,0
Allen Rossum,24.9,54,1347,1,33,5,89,0,3
Michael Bates,24.8,52,1287,2,28,6,100,0,1
Dwight Stone,24.6,28,689,0,20,4,50,0,3
Brock Marion,24.6,62,1524,0,41,4,93,0,2
Pierson Prioleau,24.3,3,73,0,2,0,32,0,0
Kevin Faulk,24.2,39,943,0,23,2,95,0,0
Bashir Levingston,24.2,22,532,0,17,0,35,0,1
Amos Zereoue,24.1,7,169,0,6,0,35,0,0
Larry Parker,24,1,24,0,1,0,24,0,0
Hines Ward,24,1,24,0,1,0,24,0,0
Moe Williams,24,10,240,1,4,1,85,0,0
Travis Jervey,23.9,8,191,0,5,1,48,0,0
Chris Watson,23.7,48,1138,0,36,3,71,0,1
Mario Bates,23.7,52,1231,0,35,3,68,0,2
Glyn Milburn,23.4,61,1426,0,43,2,93,0,2
Alvis Whitted,23.4,8,187,1,3,1,98,0,0
David Palmer,23,27,621,0,18,1,51,0,1
Ahman Green,22.7,36,818,0,21,3,54,0,2
Kevin Mathis,22.7,18,408,0,13,0,37,0,1
Tebucky Jones,22.6,5,113,0,4,0,28,0,0
Ronnie Powell,22.4,44,986,0,28,1,43,0,3
Richard Huntley,22.4,15,336,0,11,1,41,0,0
Aaron Glenn,22.3,27,601,0,17,1,46,0,0
Terrence Wilkins,22.2,51,1134,1,29,1,97,0,0
Corey Harris,22.2,38,843,0,17,3,66,0,0
Tiki Barber,22.2,12,266,0,7,1,41,0,0
Terry Fair,22.1,34,752,0,16,2,91,0,2
Basil Mitchell,22.1,21,464,1,11,1,88,0,0
Kerry Joseph,22,6,132,0,3,1,61,0,0
Johnnie Morton,22,1,22,0,1,0,22,0,0
Tony Simmons,22,6,132,0,5,0,29,0,1
Dino Philyaw,22,53,1165,0,34,2,55,0,1
R.W. McQuarters,21.8,26,568,0,16,0,37,0,1
Lawrence Phillips,21.8,19,415,0,9,1,75,0,1
Deion Sanders,21.8,4,87,0,3,0,31,0,1
Yo Murphy,21.5,18,387,0,11,1,55,0,0
Tim Dwight,21.4,44,944,0,26,1,40,0,2
John Avery,21.3,9,192,0,7,0,33,0,0
Troy Davis,21.2,20,424,0,13,0,35,0,1
Kenny Bynum,21.1,37,781,0,25,0,37,0,0
Eric Bieniemy,21,10,210,0,5,0,30,0,0
Robert Farmer,21,4,84,0,3,0,30,0,1
Jeff Ogden,21,12,252,0,8,0,29,0,0
Terry Kirby,20.9,11,230,0,6,0,28,0,0
Reggie Barlow,20.8,19,396,0,8,1,56,0,2
Brian Mitchell,20.8,43,893,0,21,1,45,0,1
Randy Jordan,20.7,10,207,0,6,0,28,0,1
Reidel Anthony,20.7,21,434,0,12,0,39,0,0
Mustafah Muhammad,20.5,2,41,0,1,0,22,0,0
Jerome Pathon,20.5,6,123,0,3,0,31,0,0
Daryl Porter,20.5,2,41,0,1,0,24,0,0
David Patten,20.4,33,673,0,17,1,45,0,0
Tyree Talton,20.2,6,121,0,3,0,38,0,0
Will Blackwell,20.1,14,282,0,7,0,37,0,0
Tamarick Vanover,20.1,44,886,0,29,0,29,0,0
Fabien Bownes,20,2,40,0,1,0,33,0,0
Lawrence Dawsey,20,1,20,0,1,0,20,0,0
David Dunn,20,9,180,0,6,0,27,0,1
Harold Morrow,20,1,20,0,1,0,20,0,0
Kevin R. Williams,20,42,840,0,18,1,62,0,0
Napoleon Kaufman,19.8,42,831,0,20,2,48,0,2
Jermaine Lewis,19.8,8,158,0,4,0,25,0,0
Billy Miller,19.8,4,79,0,3,0,30,0,0
Damon Griffin,19.7,15,296,0,6,1,42,0,3
Derrick Mason,19.6,41,805,0,19,1,41,0,0
Roell Preston,19.6,21,411,0,10,1,58,0,1
Warrick Dunn,19.5,8,156,0,2,0,34,0,0
Desmond Howard,19.5,34,662,0,15,0,35,0,0
Lenzie Jackson,19.3,3,58,0,2,0,23,0,0
Fred Lane,19.3,3,58,0,1,0,22,0,0
Mike Alstott,19,1,19,0,0,0,19,0,0
Mac Cody,19,4,76,0,1,0,29,0,0
Stacey Mack,18.7,6,112,0,2,0,32,0,0
Tremayne Stephens,18.6,18,335,0,10,0,28,0,1
Jacquez Green,18.5,10,185,0,7,0,29,0,0
Winslow Oliver,18.4,24,441,0,11,0,28,0,0
Joe Horn,18.3,9,165,0,6,0,28,0,0
Troy Edwards,18,13,234,0,5,1,44,0,0
Brock Olivo,18,11,198,0,3,0,25,0,0
De'Mond Parker,17.9,15,268,0,5,1,40,0,1
Edgar Bennett,17.7,3,53,0,1,0,20,0,0
Darrin Chiaverini,17.5,2,35,0,1,0,22,0,0
Az-Zahir Hakim,17.5,2,35,0,1,0,20,0,1
Charles Jordan,17.4,9,157,0,4,0,24,0,1
Madre Hill,17.1,8,137,0,4,0,27,0,0
Donnell Bennett,17,3,51,0,1,0,24,0,0
Earl Little,17,2,34,0,2,0,20,0,1
O.J. McDuffie,17,1,17,0,0,0,17,0,0
Jerry Wilson,16.7,3,50,0,2,0,23,0,0
Craig Yeast,16.7,3,50,0,1,0,22,0,0
Cory Schlesinger,16.5,2,33,0,1,0,20,0,0
Keith Elias,16.4,5,82,0,1,0,21,0,0
Brandon Whiting,16.3,3,49,0,1,0,21,0,0
Calvin Branch,16,6,96,0,1,0,20,0,0
Terrell Fletcher,16,7,112,0,1,0,22,0,0
Chris Hetherington,16,1,16,0,0,0,16,0,0
Spencer George,15.8,4,63,0,1,0,22,0,0
Tavian Banks,15.6,5,78,0,1,0,20,0,0
Greg Comella,15.5,2,31,0,0,0,17,0,0
Leon Johnson,15.5,2,31,0,0,0,17,0,1
Michael Pittman,15.5,2,31,0,1,0,22,0,0
Shawn Springs,15,1,15,0,0,0,15,0,0
Zach Thomas,15,1,15,0,0,0,15,0,0
Karl Williams,15,1,15,0,0,0,15,0,0
Robert Reed,14.4,5,72,0,1,0,21,0,0
Mike Cloud,14,2,28,0,0,0,18,0,0
Scott Greene,14,1,14,0,0,0,14,0,0
