Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Jeff Wilkins,101,6631,2115,13,12.9,85,24.9,2,1,1,0
Brett Conway,90,5570,1772,7,7.8,77,23,3,2,3,1
Steve Lindsey,86,5745,1474,22,25.6,64,23,0,0,0,0
Todd Peterson,85,5162,1500,1,1.2,81,18.5,1,1,2,0
Craig Hentrich,84,5150,1596,4,4.8,76,21,1,0,2,2
Olindo Mare,84,5284,1282,20,23.8,58,22.1,5,1,1,1
Ryan Longwell,80,4955,1565,5,6.2,72,21.7,1,1,2,0
Mitch Berger,78,5257,1341,13,16.7,64,21,1,0,0,0
John Hall,77,5079,1589,12,15.6,63,25.2,1,0,1,0
Matt Stover,76,4646,1479,3,4,70,21.1,1,0,2,0
Toby Gowin,75,4908,1259,12,16,62,20.3,1,1,0,0
Jason Hanson,75,4837,1172,15,20,56,20.9,3,0,1,1
Steve Christie,74,4537,1504,5,6.8,68,22.1,1,1,0,0
Jason Elam,74,4588,1457,3,4,70,20.8,1,0,0,0
Kris Brown,73,4088,1136,3,4.1,63,18,6,2,2,0
Wade Richey,72,4443,1093,17,23.6,47,23.3,2,0,5,1
Adam Vinatieri,71,4458,1427,5,7,63,22.6,1,0,2,0
John Carney,70,4407,1550,2,2.9,67,23.1,1,0,0,0
John Kasay,69,4280,1166,7,10.1,60,19.4,1,0,1,0
David Akers,67,4253,1305,8,11.9,57,22.9,1,1,1,0
Doug Brien,67,4028,1473,4,6,60,24.6,3,0,1,1
Michael Husted,66,4238,1320,6,9.1,58,22.8,0,0,2,0
Danny Kight,66,4260,1246,9,13.6,54,23.1,0,0,3,0
Martin Gramatica,65,3970,1026,6,9.2,58,17.7,0,0,1,0
Pete Stoyanovich,64,3715,1273,1,1.6,63,20.2,0,0,0,1
Morten Andersen,63,4068,1205,7,11.1,54,22.3,2,0,0,2
Chris Jacke,57,3385,1144,1,1.8,56,20.4,1,0,0,2
Cary Blanchard,45,2455,835,4,8.9,39,21.4,2,0,2,1
Phil Dawson,43,2308,640,2,4.6,37,17.3,4,1,0,0
Will Brice,32,1804,573,1,3.1,27,21.2,2,0,1,0
Chris Boniol,28,1457,349,1,3.6,24,14.5,3,1,1,0
Todd Sauerbrun,27,1702,476,3,11.1,24,19.8,0,0,0,0
Joe Nedney,23,1486,355,3,13,20,17.8,0,0,0,0
Brad Daluiso,22,1390,260,8,36.4,11,23.6,2,0,1,0
Brad Costello,21,1039,281,1,4.8,17,16.5,0,0,3,0
Richie Cunningham,20,1139,259,2,10,16,16.2,0,0,2,0
Mike Vanderjagt,17,1029,380,0,0,17,22.4,0,0,0,0
Doug Pelfrey,13,687,214,0,0,13,16.5,1,0,0,0
Hunter Smith,12,702,196,0,0,12,16.3,0,0,0,0
Jon Baker,11,575,125,1,9.1,7,17.9,0,0,3,0
Jaret Holmes,11,567,123,1,9.1,9,13.7,2,1,0,0
Scott Bentley,8,471,146,0,0,8,18.2,0,0,0,0
Chris Gardocki,8,439,124,1,12.5,5,24.8,0,0,2,0
Gary Anderson,5,288,82,0,0,5,16.4,0,0,0,0
Josh Miller,5,288,73,0,0,4,18.2,0,0,0,0
Mark Royals,5,338,48,2,40,3,16,0,0,0,0
John Jett,4,238,70,0,0,4,17.5,0,0,0,0
Jose Cortez,3,133,31,0,0,2,15.5,1,0,0,0
Lee Johnson,2,74,14,0,0,1,14,1,0,0,0
Leo Araguz,1,40,0,0,0,1,0,0,0,0,0
Brad Maynard,1,81,26,0,0,1,26,0,0,0,0
Scott Player,1,54,31,0,0,1,31,0,0,0,0
Dan Stryzinski,1,42,16,0,0,1,16,0,0,0,0
