Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Saints,524,327,62.4,7.5,3924,32,13,196,37.4,32
Cardinals,570,361,63.3,6.5,3716,26,18,185,32.5,36
Seahawks,568,333,58.6,6.2,3505,15,20,183,32.2,45
Lions,602,422,70.1,6.9,4131,32,17,221,36.7,37
Patriots,526,314,59.7,5.8,3041,23,19,172,32.7,47
Packers,534,295,55.2,6.3,3366,23,19,176,33,36
Eagles,539,312,57.9,6.4,3449,16,11,177,32.8,37
Bengals,540,353,65.4,6.8,3687,29,19,200,37,22
Rams,523,318,60.8,6.9,3613,25,18,190,36.3,31
Bears,541,343,63.4,6.8,3708,19,16,185,34.2,41
Chiefs,462,276,59.7,6.5,3022,17,14,156,33.8,37
Dolphins,409,242,59.2,7.4,3019,28,14,165,40.3,30
Ravens,490,293,59.8,7.3,3557,27,17,162,33.1,32
Falcons,536,336,62.7,6.8,3655,27,16,190,35.4,25
Colts,498,325,65.3,5.6,2764,16,22,162,32.5,28
Browns,578,340,58.8,6.4,3681,29,17,211,36.5,28
Giants,523,306,58.5,6.3,3317,24,15,185,35.4,53
Cowboys,581,342,58.9,5.9,3409,19,19,195,33.6,46
Texans,546,361,66.1,6.7,3682,25,11,197,36.1,31
Redskins,602,351,58.3,5.7,3424,20,14,174,28.9,33
Broncos,458,279,60.9,6.8,3094,25,14,168,36.7,33
Niners,543,345,63.5,6.7,3643,24,12,187,34.4,31
Jets,470,289,61.5,6.7,3154,18,15,174,37,29
Panthers,537,337,62.8,6.4,3426,22,14,174,32.4,23
Buccaneers,490,297,60.6,5.6,2728,18,16,158,32.2,33
Chargers,555,338,60.9,6.2,3412,20,30,185,33.3,42
Jaguars,543,319,58.8,6.3,3416,20,20,181,33.3,37
Titans,569,349,61.3,5.6,3187,21,22,165,29,40
Raiders,439,261,59.4,7.1,3132,17,18,156,35.5,27
Bills,567,354,62.4,6.7,3814,19,18,203,35.8,26
Steelers,536,292,54.5,5.3,2824,22,11,158,29.5,36
Vikings,646,415,64.2,6.5,4225,22,15,222,34.4,38
