Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Vikings,270,3117,11.5,17,0,0,56,150,55.6,0
Raiders,232,3195,13.8,33,0,0,88,146,62.9,0
Chiefs,229,3303,14.4,15,0,0,57,152,66.4,0
Seahawks,229,2874,12.6,13,0,0,80,140,61.1,0
Oilers,227,2429,10.7,17,0,0,69,110,48.5,0
Chargers,223,2687,12,17,0,0,81,127,57,0
Cowboys,222,2967,13.4,17,0,0,56,140,63.1,0
Cardinals,220,2967,13.5,18,0,0,77,142,64.6,0
Colts,215,3221,15,24,0,0,79,144,67,0
Browns,209,2399,11.5,21,0,0,52,112,53.6,0
Saints,206,2353,11.4,8,0,0,74,111,53.9,0
Lions,201,2630,13.1,20,0,0,74,120,59.7,0
Dolphins,193,2604,13.5,15,0,0,67,125,64.8,0
Bengals,187,2443,13.1,21,0,0,85,110,58.8,0
Redskins,187,2288,12.2,20,0,0,53,122,65.2,0
Eagles,182,1844,10.1,11,0,0,48T,91,50,0
Buccaneers,181,1926,10.6,9,0,0,49,93,51.4,0
Jets,180,1989,11,7,0,0,44T,93,51.7,0
Giants,175,2104,12,9,0,0,63,97,55.4,0
Rams,171,2629,15.4,17,0,0,80,111,64.9,0
Broncos,168,2510,14.9,15,0,0,71,114,67.9,0
Packers,164,2105,12.8,10,0,0,69,94,57.3,0
Falcons,157,1809,11.5,10,0,0,50,93,59.2,0
Bills,156,2084,13.4,16,0,0,58,102,65.4,0
49ers,155,1963,12.7,15,0,0,85,91,58.7,0
Patriots,146,1910,13.1,18,0,0,58,95,65.1,0
Steelers,143,1935,13.5,10,0,0,64,94,65.7,0
Bears,123,1705,13.9,9,0,0,63,67,54.5,0
