Team,Rsh TD,Rec TD,Tot TD,2-PT
Steelers,33,10,43,0
Colts,26,24,50,0
Patriots,24,18,48,0
Rams,23,17,44,0
Bears,20,9,31,0
Chiefs,18,15,33,0
Vikings,18,17,36,0
Cardinals,17,18,36,0
Cowboys,16,17,34,0
Saints,16,8,27,0
Bengals,15,21,40,0
Packers,15,10,27,0
Dolphins,15,15,31,0
Broncos,14,15,37,0
Raiders,14,33,47,0
49ers,14,15,31,0
Seahawks,14,13,29,0
Chargers,13,17,32,0
Bills,11,16,29,0
Giants,11,9,21,0
Falcons,10,10,20,0
Jets,10,7,19,0
Redskins,10,20,31,0
Browns,9,21,31,0
Lions,9,20,32,0
Eagles,8,11,19,0
Oilers,6,17,24,0
Buccaneers,5,9,14,0
