Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Steelers,653,2971,4.6,33,0,0,63,163,25,0
Rams,613,2528,4.1,23,0,0,40,143,23.3,0
Patriots,591,2948,5,24,0,0,69,150,25.4,0
Cardinals,580,2301,4,17,0,0,36,140,24.1,0
Bears,578,2363,4.1,20,0,0,60,115,19.9,0
49ers,576,2447,4.2,14,0,0,80T,131,22.7,0
Colts,565,2303,4.1,26,0,0,69,133,23.5,0
Raiders,557,2285,4.1,14,0,0,31,137,24.6,0
Bills,548,2566,4.7,11,0,0,75T,135,24.6,0
Redskins,548,2111,3.8,10,0,0,28T,114,20.8,0
Vikings,540,2003,3.7,18,0,0,46,125,23.2,0
Cowboys,538,2147,4,16,0,0,28T,111,20.6,0
Browns,533,2295,4.3,9,0,0,64,119,22.3,0
Giants,530,1904,3.6,11,0,0,29,98,18.5,0
Lions,516,2213,4.3,9,0,0,46T,123,23.8,0
Eagles,505,2080,4.1,8,0,0,59T,109,21.6,0
Broncos,500,1932,3.9,14,0,0,31T,106,21.2,0
Chiefs,498,1873,3.8,18,0,0,59,103,20.7,0
Dolphins,491,2118,4.3,15,0,0,59T,122,24.8,0
Packers,485,1722,3.6,15,0,0,56,99,20.4,0
Bengals,481,2109,4.4,15,0,0,77T,114,23.7,0
Chargers,473,2040,4.3,13,0,0,46,111,23.5,0
Falcons,470,1689,3.6,10,0,0,47T,78,16.6,0
Jets,438,1924,4.4,10,0,0,60,104,23.7,0
Buccaneers,433,1503,3.5,5,0,0,46,71,16.4,0
Saints,431,1775,4.1,16,0,0,74,92,21.4,0
Oilers,416,1498,3.6,6,0,0,44,71,17.1,0
Seahawks,374,1416,3.8,14,0,0,53T,75,20,0
