Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Ravens,37,43,86,0_0,13_13,11_11,5_4,12_9,2_0,58,3
Raiders,34,37,91.9,0_0,9_9,11_11,4_3,13_11,0_0,57,1
Seahawks,34,37,91.9,0_0,9_9,16_15,6_4,6_6,0_0,56,0
Panthers,33,35,94.3,0_0,2_2,17_16,14_13,2_2,0_0,54,0
Falcons,32,37,86.5,0_0,9_9,7_7,10_9,10_7,1_0,54,1
Colts,32,39,82,0_0,8_8,6_5,13_10,12_9,0_0,54,1
Patriots,32,37,86.5,1_1,9_9,8_8,14_10,5_4,0_0,54,0
Chargers,31,33,93.9,0_0,11_11,13_13,8_7,1_0,0_0,48,0
Buccaneers,31,38,81.6,0_0,11_10,8_7,12_12,7_2,0_0,54,2
Jaguars,30,35,85.7,0_0,8_8,11_10,13_10,3_2,0_0,53,0
Jets,30,37,81.1,0_0,5_5,10_10,11_9,10_5,1_1,60,0
Cowboys,29,32,90.6,0_0,9_9,5_5,7_6,10_8,1_1,60,0
Texans,29,31,93.6,0_0,7_7,8_7,10_9,6_6,0_0,56,0
Giants,29,32,90.6,0_0,2_2,10_9,11_10,9_8,0_0,57,1
Broncos,28,36,77.8,0_0,7_6,6_4,10_10,11_8,2_0,55,2
Rams,28,30,93.3,0_0,9_9,8_8,4_4,8_7,1_0,58,0
Steelers,28,38,73.7,0_0,5_5,10_8,14_8,9_7,0_0,59,1
Bills,27,31,87.1,0_0,4_4,13_11,11_10,3_2,0_0,56,2
49ers,27,32,84.4,0_0,14_13,5_5,11_7,2_2,0_0,51,2
Dolphins,26,32,81.2,0_0,6_5,7_7,13_12,6_2,0_0,55,1
Vikings,26,33,78.8,0_0,10_10,5_5,8_7,9_3,1_1,61,2
Cardinals,26,30,86.7,0_0,4_4,10_10,9_6,7_6,0_0,57,0
Bears,25,27,92.6,0_0,6_6,8_8,8_7,5_4,0_0,51,1
Packers,25,29,86.2,0_0,10_10,8_8,7_6,4_1,0_0,56,1
Commanders,25,30,83.3,1_1,8_8,5_4,10_8,6_4,0_0,58,0
Bengals,24,29,82.8,1_1,6_5,4_4,13_9,5_5,0_0,59,0
Browns,24,32,75,0_0,5_5,12_9,8_6,6_4,1_0,58,3
Lions,24,30,80,0_0,5_4,7_7,14_11,4_2,0_0,53,0
Saints,23,31,74.2,0_0,6_6,11_9,8_4,4_3,2_1,60,2
Eagles,22,25,88,0_0,7_7,9_8,3_2,6_5,0_0,56,1
Chiefs,21,28,75,1_1,8_8,7_5,5_4,6_2,1_1,62,1
Titans,20,24,83.3,0_0,6_6,8_7,8_6,2_1,0_0,51,0
