Team,INT,INT TD,INT Yds,Lng
Saints,3,0,5,5
Jets,3,0,0,0
Falcons,2,0,3,3
Cowboys,2,1,22,22T
49ers,2,0,37,28
Bills,1,0,13,13
Bengals,1,0,20,20
Broncos,1,0,0,0
Lions,1,1,50,50T
Packers,1,1,37,37T
Titans,1,0,10,10
Texans,1,0,0,0
Colts,1,0,34,34
Jaguars,1,0,0,0
Eagles,1,1,70,70T
Cardinals,1,0,1,1
Chargers,1,0,9,9
Buccaneers,1,0,14,14
Ravens,0,0,0,0
Panthers,0,0,0,0
Bears,0,0,0,0
Browns,0,0,0,0
Chiefs,0,0,0,0
Rams,0,0,0,0
Raiders,0,0,0,0
Dolphins,0,0,0,0
Vikings,0,0,0,0
Patriots,0,0,0,0
Giants,0,0,0,0
Steelers,0,0,0,0
Seahawks,0,0,0,0
Commanders,0,0,0,0
