Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Texans,15,8,0,0,7,21.9,58
Rams,9,2,0,0,3,16.7,46
Buccaneers,14,6,0,0,2,11.8,63
Packers,13,3,2,1,8,27.6,70
Saints,12,2,0,0,5,22.7,59
Giants,13,6,2,1,7,23.3,55
Ravens,18,7,4,1,1,4.4,72
Bengals,14,4,0,0,12,30,72
Lions,14,5,1,0,6,26.1,62
Patriots,13,4,1,0,6,24,61
Steelers,13,6,1,1,8,23.5,66
Chargers,9,4,1,1,5,25,65
Panthers,10,2,0,0,7,26.9,48
Browns,15,2,1,0,2,10,54
Chiefs,15,5,3,1,8,23.5,70
Vikings,17,6,1,1,5,15.2,68
Cardinals,12,4,0,0,7,25,65
Bills,13,5,1,1,5,17.9,53
Bears,16,9,2,1,5,15.6,60
Cowboys,16,5,5,3,6,21.4,65
Jets,13,5,0,0,8,36.4,68
Eagles,15,5,4,1,5,22.7,78
49ers,15,5,3,1,3,30,61
Titans,16,7,0,0,2,7.4,64
Colts,12,3,3,1,9,25.7,69
Jaguars,12,2,5,1,4,15.4,69
Commanders,14,4,1,0,4,16,58
Broncos,11,5,1,1,5,17.2,55
Raiders,11,5,0,0,5,22.7,58
Falcons,14,5,2,0,9,28.1,72
Dolphins,15,9,1,0,17,42.5,76
Seahawks,17,11,1,1,8,20,78
