Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Browns,20,75,3.8,0,2,10
Rams,18,85,4.7,0,3,16.7
Chargers,20,70,3.5,1,5,25
Jaguars,26,65,2.5,1,4,15.4
Lions,23,90,3.9,0,6,26.1
49ers,10,41,4.1,0,3,30
Buccaneers,17,41,2.4,0,2,11.8
Ravens,23,72,3.1,0,1,4.4
Panthers,26,130,5,2,7,26.9
Packers,29,122,4.2,1,8,27.6
Cowboys,28,108,3.9,0,6,21.4
Bears,32,92,2.9,1,5,15.6
Raiders,22,94,4.3,0,5,22.7
Giants,30,122,4.1,3,7,23.3
Jets,22,97,4.4,0,8,36.4
Commanders,25,96,3.8,0,4,16
Saints,22,104,4.7,0,5,22.7
Falcons,32,154,4.8,0,9,28.1
Colts,35,105,3,2,9,25.7
Eagles,22,76,3.4,0,5,22.7
Cardinals,28,92,3.3,1,7,25
Texans,32,110,3.4,3,7,21.9
Chiefs,34,118,3.5,1,8,23.5
Bills,28,172,6.1,0,5,17.9
Broncos,29,61,2.1,0,5,17.2
Titans,27,69,2.6,0,2,7.4
Patriots,25,97,3.9,0,6,24
Bengals,40,206,5.2,1,12,30
Dolphins,40,234,5.8,3,17,42.5
Seahawks,40,92,2.3,3,8,20
Vikings,33,73,2.2,0,5,15.2
Steelers,34,188,5.5,1,8,23.5
